True	dbase3	dwf	eps	f	fits	gif	hlp	java	jpg	pdf	pptx	ps	rtf	swf	tmp	troff	txt	unk	xml
dbase3	99	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	21	0	0	1	17	0	0	18	2	21	0	0	22	0	0	0	1	0
eps	0	0	72	0	0	1	0	0	0	1	0	11	0	1	3	0	3	1	2
f	4	0	2	32	0	0	3	11	0	0	0	0	1	0	10	3	17	19	0
fits	0	0	0	1	71	2	1	0	2	0	4	0	1	3	0	0	3	6	0
gif	0	4	0	0	0	73	0	0	6	0	10	0	0	14	1	0	0	0	0
hlp	0	0	0	1	0	0	70	7	0	0	0	0	0	0	1	3	17	6	0
java	0	0	1	4	0	0	3	70	0	0	0	0	0	0	6	0	2	4	4
jpg	0	13	0	0	2	16	0	0	27	0	35	0	0	12	0	0	0	0	0
pdf	0	11	7	0	4	12	0	1	10	14	24	0	0	10	0	0	0	0	3
pptx	0	5	0	0	1	18	0	0	15	0	40	0	0	14	0	0	0	2	0
ps	2	2	50	1	0	0	0	0	0	0	0	36	2	0	3	0	2	3	0
rtf	0	0	6	1	0	0	0	0	0	0	2	1	77	0	0	0	11	3	0
swf	0	15	0	0	1	15	0	0	12	0	27	0	0	26	0	0	0	2	0
tmp	0	0	7	3	0	0	1	3	0	1	1	0	0	1	58	2	8	6	13
troff	0	0	1	16	0	0	0	6	0	0	0	0	0	0	10	42	19	2	3
txt	0	0	4	8	1	0	2	5	0	0	0	4	1	0	10	2	45	15	1
unk	2	0	2	4	6	2	1	11	1	0	1	0	0	2	2	5	23	29	5
xml	0	0	0	1	0	0	1	7	0	0	0	0	1	0	5	0	5	6	80
