True	csv	dwf	f	fits	gif	gz	hlp	java	kml	kmz	log	pptx	ps	rtf	sql	tex	troff	wp	xml	zip
csv	70	0	3	0	0	0	0	1	2	0	6	0	0	2	3	0	5	0	4	0
dwf	0	24	0	1	10	13	0	0	0	20	0	21	0	0	1	0	0	0	0	14
f	2	0	16	4	0	0	4	16	1	0	9	0	1	6	9	4	16	1	5	0
fits	0	4	2	72	6	2	0	0	0	1	1	0	1	0	0	1	2	0	0	3
gif	0	19	0	0	50	3	0	0	0	8	0	11	0	0	0	0	0	3	0	4
gz	0	25	0	1	5	32	0	0	0	10	0	16	0	0	0	0	0	1	0	11
hlp	1	0	6	1	0	0	64	8	0	0	3	0	0	4	4	0	11	1	2	0
java	0	0	4	0	0	0	3	63	0	0	6	0	0	0	6	4	4	0	14	0
kml	1	0	1	0	0	0	0	0	68	0	7	0	0	0	0	0	1	0	16	0
kmz	0	16	0	1	5	14	0	0	0	28	0	13	0	0	0	0	0	0	0	14
log	0	0	8	0	0	0	0	4	8	0	32	0	3	1	3	4	6	0	30	0
pptx	0	23	0	1	8	20	0	0	0	16	0	26	0	0	0	0	0	2	1	10
ps	4	1	2	2	0	0	0	3	1	1	19	0	54	6	0	1	0	0	4	2
rtf	0	0	0	0	0	0	1	0	0	0	1	0	3	94	0	5	0	4	0	0
sql	5	0	5	0	0	0	0	6	1	0	3	0	0	0	59	0	12	0	10	0
tex	7	0	1	0	0	0	7	3	1	0	8	0	0	7	5	37	0	1	26	0
troff	3	0	3	0	0	0	0	5	0	0	1	0	10	1	6	0	54	0	16	0
wp	1	0	0	4	5	0	3	3	1	0	0	2	0	4	5	6	6	60	3	0
xml	1	0	1	0	0	0	1	3	10	0	1	0	0	7	1	4	0	1	64	0
zip	0	24	0	0	10	17	0	0	0	19	0	15	0	0	0	0	0	0	0	19
