True	csv	docx	dwf	eps	f	fits	gz	html	java	jpg	log	pdf	ppt	sql	swf	tex	tmp	troff	unk	wp	zip
csv	76	0	0	3	0	0	0	1	0	0	1	0	0	5	0	2	7	2	2	0	0
docx	0	20	6	0	0	1	21	0	0	8	0	0	7	0	12	0	0	0	0	4	23
dwf	0	2	5	0	0	1	11	0	0	7	0	6	2	0	17	0	0	0	0	0	42
eps	0	0	0	85	0	1	0	0	2	0	0	3	1	0	0	2	3	1	0	0	0
f	1	0	0	3	22	3	0	0	19	0	1	0	0	9	0	0	1	13	19	1	0
fits	0	4	1	2	1	53	1	0	0	1	0	5	1	0	16	1	0	1	7	3	6
gz	0	3	7	0	0	0	32	0	0	8	0	2	0	0	12	0	0	0	0	0	48
html	0	0	0	4	0	0	0	31	6	0	4	0	0	1	0	20	20	3	12	1	0
java	0	0	0	3	9	0	0	2	73	0	1	0	0	4	0	4	0	2	2	0	0
jpg	0	1	10	0	0	2	18	1	0	7	0	4	5	0	7	0	0	0	0	1	38
log	0	0	0	15	5	1	0	3	6	0	28	0	0	3	0	4	37	1	5	1	0
pdf	0	1	6	18	0	3	14	2	0	3	1	21	1	0	11	0	1	0	0	1	17
ppt	0	8	3	1	0	2	10	0	0	2	0	0	17	1	8	0	0	0	1	13	38
sql	2	0	0	2	5	0	0	1	9	0	5	0	0	55	0	7	5	3	4	0	1
swf	0	2	6	0	0	0	8	0	0	7	0	4	1	0	24	0	0	0	0	4	42
tex	4	0	0	0	2	0	0	5	12	0	2	0	0	3	0	46	10	1	12	0	0
tmp	0	0	0	11	2	2	0	0	3	0	8	0	2	13	0	8	44	1	5	1	0
troff	1	0	0	7	3	1	0	1	11	0	1	1	0	3	0	4	3	53	11	3	0
unk	0	1	1	10	8	9	2	3	11	0	2	0	2	2	1	4	3	1	28	8	2
wp	0	0	0	1	1	1	0	0	2	0	0	0	2	1	2	4	1	1	15	69	0
zip	0	1	10	0	0	0	15	0	0	7	0	3	0	0	5	0	0	0	0	0	56
