True	dbase3	doc	docx	f	fits	gz	hlp	html	kml	kmz	png	pps	ppt	rtf	sql	tex	text	troff	txt	wp	xml	zip
dbase3	96	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
doc	0	33	0	2	10	7	0	10	0	3	3	7	5	1	2	2	7	0	2	4	0	6
docx	0	4	4	0	1	32	0	0	0	17	17	3	4	0	0	0	1	0	0	3	0	18
f	1	0	0	53	3	0	3	14	0	0	0	0	0	0	6	1	10	5	2	3	3	0
fits	1	0	0	4	61	3	0	1	0	1	7	3	3	0	1	0	6	0	0	1	0	4
gz	0	0	0	0	0	39	0	0	0	15	5	11	0	0	0	0	0	0	0	0	0	28
hlp	0	0	0	16	4	0	61	8	0	0	0	0	0	0	4	2	1	0	9	0	0	0
html	0	0	0	5	2	0	1	39	11	0	0	0	0	1	1	3	2	2	1	0	35	0
kml	0	0	0	2	0	0	0	5	68	0	0	0	0	0	0	0	4	1	2	0	14	0
kmz	0	1	1	0	1	39	0	0	0	33	6	8	0	0	0	0	0	0	0	0	0	12
png	0	0	3	0	0	23	0	0	0	17	20	11	5	0	0	0	0	0	0	0	0	21
pps	0	6	1	0	3	24	0	0	0	16	12	12	9	0	0	0	0	0	1	3	0	13
ppt	0	6	2	0	4	21	0	0	0	8	9	10	11	1	0	0	1	0	0	2	0	15
rtf	1	0	0	1	0	0	0	3	0	0	0	0	0	77	0	5	2	0	4	0	3	0
sql	0	2	0	19	0	0	2	7	0	0	0	0	0	0	53	3	2	2	2	0	5	0
tex	0	0	0	7	0	0	1	17	2	0	0	0	0	1	2	45	3	0	3	0	19	0
text	2	12	1	11	5	8	3	7	0	4	2	7	1	1	2	1	19	4	9	1	2	5
troff	0	0	0	24	0	0	2	13	1	0	0	0	0	0	0	4	11	31	9	1	8	0
txt	0	0	0	13	2	0	5	19	2	0	0	0	0	1	3	3	26	5	16	1	1	0
wp	0	6	0	4	1	0	1	11	0	0	1	3	5	2	0	2	6	0	3	60	1	0
xml	0	0	0	5	0	0	0	28	12	0	0	0	0	1	2	1	0	1	2	1	38	0
zip	0	0	2	0	1	38	0	0	0	26	5	2	1	0	0	0	0	0	0	0	0	24
