True	csv	doc	docx	dwf	eps	fits	gif	hlp	kml	kmz	pdf	png	pps	ps	rtf	sql	swf	tex	tmp	txt	unk	wp	xls	zip
csv	70	0	0	0	3	0	0	1	5	0	1	0	0	0	1	6	0	1	6	5	4	1	0	0
doc	0	52	1	0	1	1	2	2	1	0	0	1	6	0	0	0	1	0	1	0	7	9	8	6
docx	0	6	13	7	0	2	16	0	0	2	1	3	5	0	0	0	1	0	0	0	0	5	0	35
dwf	0	0	3	7	0	1	24	0	0	0	2	4	4	0	0	0	5	0	1	0	1	1	0	44
eps	0	0	0	0	52	1	0	0	1	0	5	0	0	25	0	1	0	1	6	1	4	0	0	0
fits	0	6	1	0	0	59	7	1	0	0	4	3	2	1	0	0	3	0	2	1	5	0	2	2
gif	0	1	0	2	0	0	59	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	28
hlp	0	0	0	0	0	2	0	77	0	0	0	0	0	1	0	1	0	0	1	4	11	13	1	0
kml	0	0	0	0	2	0	0	0	88	0	1	0	0	0	0	0	0	0	0	6	1	0	0	0
kmz	0	3	1	4	0	0	8	0	0	12	8	3	11	0	0	0	0	0	0	0	0	0	0	49
pdf	0	2	1	7	2	2	12	0	2	0	18	0	5	9	0	0	3	0	0	0	2	0	0	30
png	0	0	3	6	0	0	19	0	0	3	5	3	8	0	0	0	4	0	0	0	0	0	0	43
pps	0	13	1	4	1	0	11	0	0	2	0	5	4	0	0	1	0	0	0	0	3	0	4	42
ps	0	0	0	0	46	0	1	0	3	0	1	0	0	39	3	0	0	0	4	0	2	1	1	3
rtf	0	0	0	0	2	0	0	0	0	0	0	0	0	5	72	0	0	2	0	0	5	14	0	0
sql	3	5	0	0	0	0	0	2	1	0	0	0	0	0	0	54	0	0	9	7	18	8	0	0
swf	0	4	1	2	0	0	33	0	0	1	3	7	3	0	0	0	5	0	0	0	1	3	2	43
tex	4	0	0	0	2	0	0	0	16	0	0	0	0	0	4	5	0	25	16	0	14	18	0	0
tmp	3	3	0	0	8	0	0	0	20	0	8	0	0	11	3	5	0	0	30	4	9	1	0	0
txt	1	1	0	0	21	8	0	0	2	0	1	0	0	2	1	2	0	0	2	19	22	19	0	0
unk	1	4	1	0	2	7	1	4	1	1	0	1	1	2	4	3	1	0	4	7	27	20	7	3
wp	0	7	0	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	3	82	4	0
xls	0	30	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	5	47	1
zip	0	1	1	5	0	0	15	0	0	0	1	2	5	0	0	0	1	0	0	0	0	0	0	67
