True	dbase3	doc	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	pdf	png	pps	ppt	pptx	rtf	sql	swf	troff	unk	wp	xls
dbase3	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0
doc	0	28	1	1	1	0	1	1	3	1	8	0	4	0	0	0	4	0	5	3	1	4	2	4	38
eps	2	0	64	0	1	0	0	0	4	7	0	7	0	5	0	0	0	0	2	0	1	9	0	0	1
f	2	0	0	16	0	0	0	12	6	28	0	3	0	0	0	0	0	0	1	12	0	17	0	0	0
fits	4	0	0	2	58	2	0	3	0	1	2	0	1	1	0	0	0	0	0	4	2	0	0	4	10
gif	0	0	0	0	0	45	2	0	0	0	6	0	12	4	5	0	0	12	0	0	13	0	0	0	0
gz	0	0	0	0	0	2	20	0	0	0	25	0	23	2	5	0	0	13	0	0	6	0	0	0	0
hlp	1	0	0	1	0	0	0	76	1	10	0	0	0	0	0	0	0	0	0	9	0	8	0	0	0
html	0	0	0	1	0	0	0	1	61	10	0	17	0	1	0	0	0	0	4	0	0	7	0	0	0
java	0	0	0	2	0	0	0	3	3	76	0	1	0	1	0	0	0	0	2	3	0	7	0	0	0
jpg	0	0	0	0	1	3	12	0	0	0	26	0	26	1	3	0	1	16	0	1	7	0	0	0	0
kml	0	0	0	0	0	0	0	1	11	1	0	90	0	0	0	0	0	0	0	1	0	3	0	0	0
kmz	0	0	0	0	0	3	4	0	0	0	24	0	41	5	5	0	0	10	0	0	4	0	0	0	1
pdf	0	1	8	0	0	5	7	0	1	1	14	11	13	14	3	0	0	19	2	1	7	0	0	0	2
png	0	0	0	0	0	10	1	0	0	0	14	0	22	7	9	0	2	17	0	0	12	0	0	0	0
pps	0	0	0	0	0	5	2	0	1	0	14	0	15	6	5	0	8	18	0	0	7	0	1	1	15
ppt	0	2	0	0	0	5	11	1	0	0	10	0	15	3	2	1	7	16	1	0	8	1	0	1	14
pptx	0	0	0	0	0	8	8	0	0	0	12	0	27	3	4	1	0	24	1	0	8	0	0	2	1
rtf	0	1	1	0	0	1	0	0	4	2	0	1	0	2	0	0	0	0	86	0	0	3	1	0	0
sql	0	0	0	1	0	0	0	0	4	18	0	3	0	0	0	0	0	1	0	66	0	6	0	0	0
swf	0	2	0	0	0	2	4	0	0	0	12	0	25	5	4	1	1	18	0	0	22	0	0	1	2
troff	0	0	1	2	1	0	0	2	7	13	0	1	0	0	0	0	0	0	2	10	0	54	0	0	0
unk	8	4	4	4	4	2	3	7	11	13	0	2	1	0	1	0	1	1	1	8	2	9	5	6	4
wp	0	6	0	0	0	0	0	1	13	2	0	0	0	0	0	0	1	0	0	1	4	4	2	64	9
xls	0	3	0	0	0	0	0	1	0	0	0	1	2	1	0	0	2	0	1	4	0	1	0	2	80
