True	dbase3	doc	docx	dwf	eps	fits	gif	gz	hlp	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	xml	zip
dbase3	93	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
doc	0	59	1	0	2	0	0	2	1	0	0	0	0	7	0	0	0	1	3	6	0	0	0	1	8	5	2	3
docx	0	8	18	15	0	0	6	14	0	5	0	3	2	4	0	0	0	0	0	15	0	0	0	0	0	0	0	11
dwf	0	0	0	19	0	1	12	12	0	6	0	2	4	8	0	0	0	0	0	19	0	0	0	0	0	1	0	14
eps	0	0	0	0	63	1	0	0	0	0	4	0	0	0	0	0	13	1	1	0	0	4	2	4	3	1	0	0
fits	2	5	0	2	2	71	2	1	2	1	1	0	0	1	2	0	0	0	0	7	0	3	0	0	1	2	0	0
gif	0	0	1	7	0	0	48	6	0	3	0	1	2	5	1	0	0	0	0	16	0	2	0	0	0	0	0	7
gz	0	0	0	16	0	0	7	24	0	5	0	2	2	8	0	1	0	0	0	17	0	0	0	0	0	0	0	11
hlp	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	2	15	0	0
kmz	0	1	1	16	0	0	6	15	0	20	0	0	1	5	0	0	0	0	0	17	0	0	0	0	0	0	0	15
log	0	0	0	0	8	2	0	0	1	0	43	1	0	0	0	0	0	0	4	0	4	2	6	9	6	5	9	0
pdf	0	0	3	18	5	0	7	7	0	3	2	17	1	2	0	0	11	1	0	13	1	0	0	1	0	2	0	4
png	0	0	3	22	0	0	14	9	0	9	0	1	6	11	1	0	0	0	0	19	0	0	0	0	0	0	0	10
pps	0	15	2	16	0	0	5	7	0	5	0	1	1	13	6	0	0	0	0	16	0	1	0	0	1	1	0	9
ppt	0	17	4	11	2	0	5	16	0	6	0	3	1	5	1	2	0	0	1	17	0	0	0	0	0	2	0	8
pptx	0	2	12	13	0	1	11	13	0	7	0	2	1	8	1	1	0	1	0	12	0	1	0	0	0	0	0	9
ps	0	0	0	0	46	0	0	1	0	1	4	0	1	0	0	0	36	4	0	1	4	1	0	1	2	0	1	0
rtf	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	4	78	1	0	5	0	0	2	7	3	0	0
sql	0	0	0	0	2	0	0	0	4	0	2	0	0	0	0	0	0	0	62	0	3	0	3	18	3	3	1	0
swf	0	0	0	21	0	0	9	7	0	6	0	5	0	5	2	0	0	0	0	37	0	2	0	0	0	1	0	7
tex	0	0	0	0	1	0	0	0	4	0	13	0	0	0	0	0	0	3	4	0	46	1	4	4	12	3	4	0
text	0	7	1	3	2	2	0	4	3	1	1	2	1	2	0	0	4	0	2	4	0	11	0	7	23	16	0	5
tmp	0	4	0	0	2	1	0	0	0	0	34	0	0	0	0	0	2	0	4	0	2	0	21	6	16	3	1	0
troff	0	0	0	0	3	0	0	0	1	0	4	1	0	0	0	0	0	1	9	0	1	0	0	62	12	4	0	0
txt	1	0	0	0	2	3	0	0	10	0	5	0	0	0	0	0	2	3	3	0	1	1	3	11	42	14	1	0
unk	3	5	0	1	3	4	2	1	7	0	2	0	0	2	5	0	1	3	4	1	3	0	1	9	22	22	2	0
xml	0	0	0	0	1	0	0	0	1	0	19	0	0	0	0	0	0	5	1	0	3	1	8	7	7	8	43	0
zip	0	0	2	24	0	0	6	15	0	4	0	2	4	8	1	1	0	0	0	18	0	1	0	0	0	0	0	14
