True	csv	doc	docx	eps	f	fits	gif	gz	hlp	html	java	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	text	txt	unk	wp	xls	xml	zip
csv	63	0	0	5	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	5	0	1	1	11	0	0	0	0	0
doc	0	45	3	1	0	0	2	2	0	0	1	3	2	0	4	2	5	0	0	1	0	0	0	2	4	11	7	1	3
docx	0	5	21	0	0	2	13	11	0	0	0	9	0	3	8	1	3	4	0	0	1	0	0	0	0	1	0	0	13
eps	0	0	0	74	0	1	1	0	0	1	1	0	5	2	0	1	1	0	1	0	0	2	2	1	1	0	1	0	0
f	0	0	0	1	24	0	0	0	7	1	11	0	20	0	0	0	0	0	0	7	0	0	3	15	5	7	0	0	0
fits	0	4	1	0	2	60	2	3	1	0	1	0	1	3	0	0	0	0	0	0	1	0	2	9	4	1	1	0	2
gif	0	3	3	0	0	0	60	3	0	0	0	3	0	1	12	3	5	1	0	0	1	0	0	0	0	1	0	0	8
gz	0	0	3	0	0	0	11	28	0	0	0	9	0	0	18	0	7	4	0	0	0	0	0	0	0	0	0	0	17
hlp	0	0	0	0	4	1	0	0	74	0	3	0	0	0	0	0	0	0	0	8	0	0	0	10	5	1	0	0	0
html	1	0	0	0	1	0	0	0	1	28	7	0	28	1	0	0	0	0	0	4	0	0	0	7	3	3	0	9	0
java	0	0	0	0	2	0	0	0	2	5	65	0	8	0	0	0	0	0	0	5	0	0	1	3	7	0	0	1	0
kmz	0	0	9	0	0	0	7	23	0	0	0	18	0	1	13	0	3	5	0	0	1	0	0	0	0	0	0	0	18
log	0	0	0	12	3	0	0	0	1	5	6	0	60	0	0	0	0	0	0	3	0	4	1	4	0	1	0	7	0
pdf	0	1	2	4	0	1	6	2	0	0	0	9	2	31	9	0	0	3	0	0	1	0	0	0	2	2	0	3	17
png	0	0	8	0	0	0	20	19	0	0	0	9	0	0	18	0	0	6	0	0	1	0	0	0	0	0	0	0	19
pps	0	5	3	0	0	1	6	18	0	0	0	11	0	0	15	1	5	5	0	0	1	0	2	0	3	2	4	0	18
ppt	0	12	5	1	0	2	7	16	0	1	0	6	0	2	5	1	15	3	1	0	0	0	0	0	0	5	6	0	12
pptx	0	0	9	0	0	2	10	19	0	0	0	6	0	4	14	2	6	3	1	0	0	0	0	0	0	3	1	0	16
rtf	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	83	0	0	3	0	0	2	8	0	0	0
sql	0	0	0	3	7	2	0	0	5	4	7	0	8	1	0	0	0	0	0	54	0	1	1	2	3	1	0	0	0
swf	0	0	4	0	0	1	11	16	0	0	0	10	0	1	15	0	4	2	0	0	14	0	0	0	1	6	2	0	24
tex	1	0	0	1	0	0	0	0	4	1	4	0	10	0	0	0	0	0	0	7	0	50	0	5	2	13	0	5	0
text	3	5	2	0	4	2	3	3	1	0	0	2	5	5	8	1	2	1	1	4	0	1	4	18	5	9	1	0	4
txt	2	0	0	7	4	0	0	0	5	0	1	0	7	1	0	0	0	0	0	7	0	4	2	38	8	15	0	1	0
unk	0	7	0	3	7	1	0	0	5	3	10	1	4	2	1	0	1	2	0	6	1	0	3	7	12	11	2	3	0
wp	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	5	80	0	0	0
xls	0	26	0	0	1	0	1	1	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	1	0	6	66	0	0
xml	0	0	0	1	0	0	0	0	0	14	8	0	15	2	0	0	0	0	1	2	0	2	0	1	2	0	0	50	0
zip	0	0	10	0	0	0	6	24	0	0	0	21	0	1	9	0	3	4	0	0	0	0	0	0	0	0	0	0	28
