True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	log	pdf	png	pps	ppt	rtf	sql	swf	tex	tmp	txt	unk	wp	xls	xml	zip
csv	80	0	0	0	0	2	2	0	0	0	0	0	0	1	6	0	0	0	0	0	3	0	4	1	0	0	0	0	0	0
dbase3	0	90	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	1	25	1	4	0	1	0	4	5	1	1	1	0	2	1	2	1	0	2	2	0	7	2	1	7	3	30	0	0
docx	0	0	0	24	13	0	0	0	13	24	0	0	7	0	0	1	7	2	1	0	0	3	0	0	0	0	0	0	0	2
dwf	0	0	1	6	26	0	0	2	12	21	0	0	9	0	0	4	5	1	1	0	0	7	0	0	0	0	0	0	0	7
eps	0	0	0	0	0	73	0	0	0	2	0	1	0	0	10	0	0	0	1	1	7	0	1	3	1	3	0	0	1	0
f	0	1	0	0	0	3	42	0	0	0	2	0	0	0	6	0	0	0	0	0	22	0	6	4	6	11	0	0	0	0
fits	0	2	0	0	2	0	2	55	4	1	1	0	0	0	1	2	1	1	0	0	1	2	0	1	3	18	3	6	0	0
gif	0	0	0	2	10	0	0	1	47	18	0	0	4	0	0	3	4	5	0	0	0	1	0	2	0	0	0	0	0	2
gz	0	0	0	4	19	0	0	0	5	37	0	0	13	0	0	1	3	1	0	0	0	4	0	0	0	0	0	0	0	6
hlp	0	0	0	0	0	0	6	0	0	0	70	0	0	0	2	0	0	0	0	0	5	0	0	2	1	9	0	0	0	0
html	2	0	0	0	0	2	4	0	0	0	3	17	0	16	16	0	0	0	0	1	4	0	13	8	5	10	2	0	5	0
jpg	0	0	0	2	24	0	0	0	14	29	0	1	13	0	0	2	5	1	0	0	0	3	0	0	0	1	1	0	0	6
kml	0	0	0	0	0	0	0	0	0	0	0	3	0	72	1	0	0	0	0	0	1	0	2	2	1	1	1	0	5	0
log	1	0	0	0	0	2	7	0	0	0	0	1	0	7	49	0	0	0	0	0	1	0	14	13	2	2	0	0	0	0
pdf	0	0	1	5	17	9	0	0	12	16	0	0	5	2	3	15	6	2	0	0	1	4	0	2	1	1	0	0	2	2
png	0	0	0	6	11	0	0	0	21	27	0	0	9	0	0	2	16	2	0	0	0	1	0	0	0	0	1	0	0	6
pps	0	0	2	0	16	0	0	1	10	31	0	0	3	0	0	0	6	1	4	1	0	3	0	1	0	1	3	14	0	4
ppt	0	0	6	6	16	1	0	1	9	20	0	0	1	0	0	3	6	6	3	0	0	4	0	1	0	1	2	15	0	1
rtf	0	0	0	0	0	13	0	0	0	0	1	1	0	0	0	2	0	1	0	52	0	0	24	0	1	3	0	1	0	0
sql	0	1	0	0	0	0	10	0	0	0	2	0	0	0	3	0	0	0	0	0	53	0	7	4	3	4	0	0	1	0
swf	0	0	4	1	18	0	0	1	19	19	0	0	4	0	0	0	6	7	1	1	0	15	0	1	0	0	2	3	0	2
tex	3	0	0	0	0	0	0	0	0	0	5	1	0	0	10	0	0	0	0	0	5	0	69	4	3	2	2	0	0	0
tmp	2	0	2	0	0	2	3	0	0	0	1	0	0	1	20	1	0	0	1	0	6	0	8	35	10	2	0	0	4	0
txt	5	1	0	0	0	6	5	0	0	0	6	0	0	0	6	0	0	0	0	0	4	0	17	4	20	22	0	0	0	0
unk	2	2	3	1	1	6	9	5	1	1	5	1	2	0	3	0	2	0	0	0	7	1	16	1	1	18	0	5	0	0
wp	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	4	8	1	1	9	58	8	0	0
xls	0	0	4	3	0	2	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	4	86	0	0
xml	0	0	0	0	0	1	3	0	0	0	3	11	0	25	11	0	0	0	0	0	1	0	13	6	0	2	0	0	31	0
zip	0	0	0	4	20	0	0	0	9	27	0	0	15	0	0	5	5	4	0	0	0	4	0	0	0	0	0	0	0	6
