True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	hlp	html	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	text	tmp	txt	unk	wp	xls	xml	zip
csv	66	0	0	0	0	0	2	0	0	0	5	0	5	0	4	0	0	0	0	0	0	0	7	0	0	5	2	1	0	0	2	0
dbase3	0	93	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
doc	0	0	49	1	0	0	0	0	2	1	1	1	0	1	2	1	1	0	4	3	1	2	2	2	0	2	3	4	5	9	1	4
docx	0	0	5	15	3	0	0	0	8	0	0	10	0	8	0	2	9	0	0	21	0	0	0	2	1	0	0	0	1	0	0	14
dwf	0	0	0	5	5	0	0	1	12	0	0	12	0	7	0	1	24	0	2	9	0	0	1	2	0	0	0	0	1	0	0	17
eps	0	0	1	0	0	47	1	0	0	1	3	0	3	0	3	4	0	0	0	0	22	1	2	0	1	6	4	1	1	0	2	0
f	1	1	2	0	0	2	30	1	0	2	3	0	1	0	16	0	0	1	0	0	0	0	8	0	2	10	4	11	1	0	5	0
fits	0	1	5	1	0	0	2	52	3	1	0	0	0	2	0	2	1	2	2	1	0	1	0	3	1	0	5	3	2	4	0	1
gif	0	0	0	1	0	0	0	1	39	0	0	3	0	5	0	4	20	2	1	6	0	0	0	6	2	0	0	0	1	0	0	11
hlp	0	0	0	0	0	0	5	0	0	80	2	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	4	0
html	1	2	1	0	0	0	1	1	0	4	17	0	13	0	8	0	0	0	0	0	0	1	4	0	0	2	2	4	2	0	34	0
jpg	0	0	0	4	2	0	0	1	5	0	0	13	0	12	0	3	21	0	1	12	0	0	0	4	1	0	0	0	2	0	0	19
kml	0	0	0	0	0	0	0	0	0	0	0	0	79	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	14	0
kmz	0	0	0	5	0	0	0	0	5	0	0	14	0	20	0	1	16	2	0	11	0	0	0	4	0	0	0	0	0	0	0	20
log	2	1	0	0	0	3	3	0	0	2	4	0	8	0	35	1	0	0	0	0	4	1	6	0	0	26	0	0	0	0	7	0
pdf	0	0	0	0	2	2	0	2	5	0	0	6	2	7	0	14	17	1	2	8	7	0	0	1	1	0	0	0	1	0	5	15
png	0	0	0	4	2	0	0	0	13	0	0	7	0	6	0	1	36	1	0	12	0	0	0	5	1	0	0	0	0	0	0	13
pps	0	0	8	4	3	0	0	0	5	0	0	14	0	2	0	1	14	1	5	12	0	1	0	5	1	0	0	1	5	2	0	16
ppt	0	0	9	4	3	0	0	0	9	0	0	4	0	5	0	0	23	3	9	12	1	2	0	1	0	1	0	0	4	2	0	11
pptx	0	0	2	11	3	0	0	0	9	0	0	10	1	4	0	0	21	0	2	15	0	0	0	8	0	0	0	0	1	0	0	12
ps	0	0	0	0	0	28	0	0	0	0	2	0	0	0	5	4	2	0	0	1	50	3	0	0	0	1	2	1	0	0	5	1
rtf	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	84	0	0	1	1	3	1	2	0	9	0
sql	0	0	0	0	0	0	2	0	0	6	2	1	1	0	3	0	0	0	0	0	0	0	64	0	0	2	0	1	1	0	17	0
swf	0	0	2	5	2	0	0	0	12	0	0	6	0	6	0	2	18	0	3	10	0	0	1	17	0	0	0	0	1	1	0	16
text	3	1	7	1	0	3	6	3	3	4	1	2	2	0	5	1	7	0	2	6	1	3	1	0	11	4	11	5	4	0	1	1
tmp	0	1	4	0	0	0	1	0	0	6	2	0	2	0	14	0	0	0	1	0	0	4	6	0	0	46	1	0	2	1	7	0
txt	5	2	1	0	0	3	3	0	0	6	4	0	5	0	3	2	0	0	0	0	3	1	3	0	7	12	11	15	6	0	5	0
unk	0	2	6	0	0	0	8	5	2	5	3	0	2	0	6	1	0	1	1	0	2	3	5	0	2	4	2	15	4	4	14	1
wp	0	0	5	1	0	0	1	1	2	0	2	0	0	0	1	0	0	0	2	0	0	2	0	1	3	0	0	5	71	4	2	0
xls	0	0	29	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	3	0	1	0	1	1	5	52	0	1
xml	0	0	0	0	0	1	1	0	0	1	4	0	22	0	4	1	0	0	0	0	0	0	2	0	0	4	0	2	2	0	57	0
zip	0	0	0	4	1	0	0	0	4	0	0	15	0	6	0	1	19	3	2	13	0	0	0	3	0	0	0	0	0	0	0	26
