True	csv	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	pptx	ps	rtf	sql	swf	tex	text	tmp	txt	unk	wp	xls	xml	zip
csv	79	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	3	0	1	0	2	1	1	0	0	1	0
doc	0	25	0	0	1	0	1	2	2	1	2	0	0	1	4	0	0	0	1	1	0	0	1	4	1	0	1	4	5	1	35	0	1
docx	0	0	11	10	0	0	1	6	24	0	0	0	4	0	8	0	0	2	2	5	0	0	0	13	0	0	2	0	0	2	8	0	2
dwf	0	0	1	23	0	0	0	17	23	0	0	0	3	0	12	0	2	2	2	3	0	0	0	6	0	1	0	0	0	0	2	0	8
eps	1	0	0	0	54	0	4	0	0	0	1	1	0	1	0	3	2	0	0	0	20	4	0	0	0	0	0	1	0	2	4	0	0
f	3	0	0	0	3	19	3	0	0	2	2	22	0	0	0	7	0	0	0	0	0	1	6	0	0	4	3	10	17	0	0	0	0
fits	0	0	0	2	0	1	71	7	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	4	0	0	0	0	3	5	5	0	0
gif	0	0	1	6	0	0	1	61	16	0	0	0	0	0	2	0	0	0	2	0	0	0	0	8	0	1	0	0	0	0	0	0	2
gz	0	0	1	16	0	0	0	11	47	0	0	0	0	0	10	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	2
hlp	0	0	0	0	0	3	1	0	0	51	0	11	0	0	0	0	0	0	0	0	0	0	5	0	3	1	1	9	12	0	0	2	0
html	1	0	0	0	1	0	1	0	0	0	37	6	0	3	0	15	1	0	0	0	2	3	4	0	3	5	0	6	11	0	0	5	0
java	0	0	0	0	0	2	0	0	0	1	6	73	0	0	0	8	0	0	0	0	0	0	2	0	4	0	2	0	2	0	0	3	0
jpg	0	0	1	14	0	0	0	14	33	0	0	0	2	0	17	0	2	1	1	1	0	0	0	9	0	1	0	0	0	1	2	0	2
kml	1	0	0	0	0	0	0	0	0	0	1	0	0	80	0	5	0	0	0	0	1	0	1	0	2	0	2	1	0	0	0	4	0
kmz	0	0	2	6	0	0	0	10	36	0	0	0	0	0	27	0	2	0	2	1	0	0	0	9	0	0	2	0	0	0	0	0	4
log	0	0	0	0	4	2	2	0	0	0	2	6	0	6	0	46	0	0	0	0	0	1	3	0	8	3	4	4	2	0	0	7	0
pdf	0	0	1	14	2	0	10	9	11	0	0	0	0	2	12	1	10	5	2	1	7	1	0	6	0	0	0	0	0	0	2	1	6
png	0	0	1	14	0	0	0	22	20	0	0	0	2	0	12	0	3	5	5	3	0	0	0	10	0	1	0	0	0	4	0	0	2
pps	0	1	0	12	0	0	3	14	20	0	0	0	1	0	5	0	1	2	4	1	0	0	0	4	0	2	0	0	0	3	19	0	2
pptx	0	3	1	11	0	0	0	18	33	0	0	0	0	0	11	0	0	3	1	2	0	0	0	10	0	0	0	0	0	2	2	0	3
ps	2	0	0	1	32	1	1	1	1	0	0	1	0	1	1	7	3	0	0	0	38	3	1	0	0	0	1	1	0	0	0	0	0
rtf	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	74	0	0	7	2	0	5	0	0	0	1	0
sql	2	0	0	0	1	0	0	0	0	3	0	12	0	0	0	12	0	0	0	0	0	0	57	0	7	0	3	0	3	0	0	1	0
swf	0	2	3	7	0	0	3	18	24	0	0	0	0	0	10	0	0	2	7	1	0	0	0	14	0	0	0	0	0	0	7	0	5
tex	4	0	0	0	0	0	0	0	0	0	3	2	0	0	0	14	0	0	0	0	0	1	5	0	51	2	3	6	8	0	0	4	0
text	4	7	0	2	1	1	8	5	7	0	1	0	0	1	3	6	0	0	1	0	4	0	3	4	1	12	0	11	10	1	3	0	4
tmp	3	0	0	0	9	0	0	0	0	0	6	8	0	0	0	31	0	0	0	0	0	2	5	0	5	2	19	5	1	0	3	3	0
txt	6	0	0	0	3	5	8	0	0	0	0	3	0	3	0	8	0	0	0	0	2	0	2	0	2	7	1	28	18	0	0	0	0
unk	1	4	0	2	2	3	4	0	1	0	7	10	0	0	0	6	0	0	1	0	2	4	2	2	2	9	2	11	17	1	5	3	1
wp	0	1	0	0	0	2	2	2	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	7	0	6	5	57	7	0	0
xls	0	3	0	1	2	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	2	4	1	76	0	0
xml	0	0	0	0	1	2	0	0	0	0	8	10	0	16	0	14	0	0	0	0	0	1	0	0	10	1	1	1	0	0	0	36	0
zip	0	0	0	18	0	0	0	9	30	0	0	0	1	0	18	0	4	2	2	0	0	0	0	11	0	0	0	0	0	0	0	0	3
