True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	74	0	0	0	4	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	7	6	0	0	0	1	0
dbase3	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
docx	0	0	15	3	0	0	0	7	18	0	0	0	1	0	19	0	0	3	2	0	1	0	0	0	12	0	0	3	0	0	0	0	3	0	12
dwf	0	0	2	10	0	0	1	7	10	0	0	0	6	0	25	0	1	1	0	1	2	0	0	0	15	0	0	0	0	0	0	1	0	0	18
eps	0	1	0	0	65	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	15	3	3	0	0	0	6	1	0	1	1	0	0	0
f	1	5	0	0	3	11	1	0	0	2	4	6	0	0	0	7	0	0	0	0	0	2	0	4	0	3	3	3	21	8	14	3	0	0	0
fits	0	17	0	0	1	0	55	5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	2	0	0	0	0	1	1	6	0	0
gif	0	0	1	8	0	0	1	56	6	0	0	0	1	0	7	0	0	2	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8
gz	0	0	1	10	0	0	0	12	23	0	0	0	7	0	10	0	1	3	0	0	1	0	0	0	10	0	1	0	0	0	0	0	0	0	19
hlp	0	1	0	0	0	2	4	0	0	65	1	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	5	13	0	0	1	0
html	3	3	0	0	0	1	0	0	0	1	44	2	0	2	0	5	8	0	0	0	0	0	0	0	0	7	0	13	2	1	4	3	0	2	0
java	1	0	0	0	0	6	2	0	0	1	4	60	0	0	0	4	0	0	0	0	0	1	0	4	0	6	0	1	3	2	6	0	0	1	0
jpg	0	0	0	15	0	0	1	11	26	0	0	1	4	0	9	0	0	6	0	0	4	0	0	0	6	0	0	0	0	0	0	1	0	0	14
kml	1	0	0	0	1	0	0	0	0	0	20	0	0	50	0	5	3	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	13	0
kmz	0	0	3	8	0	0	0	8	17	0	0	0	2	0	23	0	0	3	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	19
log	2	0	0	0	6	1	1	0	0	0	11	0	0	0	0	24	5	0	0	0	0	3	1	5	0	5	1	24	2	0	4	0	0	0	0
pdf	0	0	0	7	5	0	3	11	10	0	0	0	0	0	13	0	11	6	0	0	2	9	0	0	7	0	0	1	0	0	0	0	1	0	14
png	0	0	5	8	0	0	0	13	15	0	0	0	4	0	13	0	0	9	1	0	6	0	0	0	16	0	0	0	0	0	0	1	0	0	12
pps	0	0	3	9	0	0	0	8	10	0	0	0	6	0	11	0	0	1	1	10	4	0	0	1	12	0	0	0	0	0	0	3	10	0	12
ppt	0	0	0	5	1	0	1	7	17	0	0	0	2	0	12	0	0	4	1	10	3	1	0	0	14	0	0	0	0	0	0	1	10	0	11
pptx	0	0	1	8	0	0	0	10	19	0	0	0	6	0	9	0	0	5	0	0	5	0	1	1	16	0	0	0	0	0	0	1	0	0	15
ps	1	1	0	1	36	0	0	0	2	0	2	1	0	0	0	1	0	0	0	0	0	46	1	1	1	2	0	6	0	0	0	0	0	1	0
rtf	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	71	0	0	7	1	1	1	3	8	2	0	0	0
sql	1	0	0	0	2	3	0	0	0	0	7	5	0	0	0	1	0	0	0	0	0	0	0	50	0	0	1	7	11	2	4	0	0	5	0
swf	0	0	0	7	0	0	0	13	16	0	0	0	6	0	12	0	1	3	1	1	1	0	1	0	16	1	0	0	0	0	0	3	2	0	19
tex	1	0	0	0	2	0	0	0	0	5	3	2	0	0	0	3	0	0	0	0	0	1	0	6	0	45	1	8	4	6	8	2	0	3	0
text	0	1	4	4	2	2	6	1	4	1	2	0	2	0	6	1	1	1	4	0	0	6	3	1	5	0	5	2	0	8	8	5	7	1	4
tmp	0	1	0	0	5	0	0	0	0	1	7	1	1	0	0	5	1	0	0	0	0	4	2	8	0	5	0	41	2	6	4	2	1	2	0
troff	5	0	0	0	2	1	0	0	0	1	7	1	0	0	0	4	0	0	0	0	0	5	1	5	0	1	1	3	44	6	8	1	0	0	0
txt	5	2	0	0	13	2	2	0	0	3	7	0	0	0	0	1	0	0	0	0	0	2	0	3	0	2	8	3	7	14	18	4	0	0	0
unk	1	6	0	0	1	2	2	1	3	2	8	6	0	0	2	2	0	0	0	3	0	1	0	3	1	2	6	3	8	5	20	11	2	1	0
wp	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	2	0	1	0	0	3	9	67	9	0	0
xls	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	0	1	0	2	4	83	0	1
xml	2	0	0	0	0	2	0	0	0	0	22	4	0	6	0	7	1	0	0	0	0	0	0	1	0	3	0	12	0	0	5	4	0	34	0
zip	0	0	0	11	0	0	0	4	19	0	0	0	2	0	17	0	2	2	0	0	4	0	0	0	11	0	0	0	0	0	0	0	0	0	28
