True	csv	gz	html	java	jpg	pdf	ppt	pptx	rtf	tmp	troff	txt	unk	wp	zip
csv	69	0	0	1	0	0	0	0	1	2	4	8	0	1	0
gz	0	22	0	0	9	12	15	19	0	0	0	0	0	2	20
html	6	0	62	11	0	1	0	0	1	5	6	3	4	3	0
java	0	0	10	81	0	0	1	0	0	1	3	1	3	1	0
jpg	0	15	0	0	23	8	13	17	0	0	0	0	1	2	22
pdf	0	8	6	0	11	33	7	14	0	1	0	2	1	2	15
ppt	0	12	0	0	9	8	36	19	0	1	2	1	0	5	8
pptx	0	21	0	0	17	11	8	18	0	0	0	0	0	3	17
rtf	1	0	5	1	0	0	2	2	75	0	1	2	6	6	0
tmp	3	0	12	14	0	5	3	0	4	43	6	15	1	4	0
troff	11	0	6	6	0	1	0	0	0	4	47	4	3	6	0
txt	6	0	2	9	0	1	0	0	1	7	6	44	11	19	0
unk	0	0	7	26	5	0	5	5	3	3	8	11	21	12	2
wp	0	0	3	3	0	0	8	1	1	2	1	3	1	83	0
zip	0	13	0	0	21	6	10	13	0	0	0	0	0	0	33
