True	dbase3	f	gz	hlp	html	kmz	pdf	png	ppt	pptx	ps	troff	txt	unk	wp	xls	zip
dbase3	100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
f	0	49	0	5	9	0	0	0	0	0	6	14	7	8	2	0	0
gz	0	0	23	0	0	33	14	6	0	6	0	0	0	0	0	0	8
hlp	0	21	0	62	0	0	0	0	0	0	0	5	1	5	1	0	0
html	0	11	0	2	59	0	1	0	0	0	2	13	7	8	1	0	0
kmz	0	0	16	0	0	45	14	8	1	13	0	0	0	0	0	1	9
pdf	0	0	10	0	4	16	25	5	0	10	15	1	1	2	2	0	9
png	0	0	15	0	0	28	15	13	3	21	0	0	0	1	0	0	9
ppt	0	0	14	0	0	25	11	4	8	7	0	0	1	1	7	14	10
pptx	0	0	20	0	0	20	21	6	2	12	0	0	0	1	1	0	15
ps	0	0	0	0	1	0	1	1	0	0	90	3	2	0	0	0	0
troff	0	22	0	6	16	0	0	0	0	0	5	46	4	4	0	1	0
txt	4	17	0	6	6	0	1	0	0	0	6	9	36	13	0	0	0
unk	3	25	0	6	14	0	2	1	1	1	9	5	6	21	2	1	2
wp	0	6	0	0	1	0	0	1	1	0	2	1	2	7	73	8	0
xls	0	0	1	1	1	0	1	0	3	0	0	2	0	0	5	80	0
zip	0	0	13	0	0	43	10	7	0	13	0	0	0	0	0	0	17
