True	dbase3	docx	dwf	eps	f	gif	gz	html	png	pps	ppt	ps	rtf	swf	text	troff	txt	xml
dbase3	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	65	1	0	0	6	18	0	1	1	2	0	0	6	2	0	0	0
dwf	0	39	6	0	0	1	33	0	2	0	1	0	0	14	1	0	0	0
eps	1	0	0	57	4	0	0	2	0	0	0	28	2	1	1	3	4	1
f	1	0	0	4	59	0	0	5	0	0	0	0	0	0	1	6	23	2
gif	0	21	6	0	0	40	17	0	3	1	0	0	0	10	1	0	0	0
gz	0	39	1	0	0	0	46	0	1	1	4	0	0	11	0	0	0	0
html	2	0	0	2	4	0	0	42	0	0	0	1	1	0	3	5	14	28
png	0	47	6	0	0	5	18	0	5	0	2	0	0	18	0	0	0	0
pps	0	35	7	0	1	5	18	0	3	4	16	0	0	11	1	1	0	0
ppt	0	36	3	0	1	0	21	0	0	4	22	0	1	5	1	0	1	0
ps	0	2	0	33	9	0	1	0	0	0	0	46	5	0	0	1	2	1
rtf	0	0	0	3	2	0	0	0	0	0	0	3	85	0	0	0	5	1
swf	0	35	3	0	0	3	13	0	3	2	5	0	2	31	1	0	0	0
text	2	18	1	3	12	5	4	2	0	1	7	3	0	6	7	2	27	0
troff	0	0	0	1	22	0	0	7	0	0	0	3	2	0	4	35	22	1
txt	4	0	0	3	20	0	0	3	0	0	0	1	6	0	6	6	45	4
xml	0	0	0	0	2	0	0	27	0	0	0	0	6	0	1	0	2	63
