True	csv	doc	docx	gz	hlp	html	java	jpg	kml	kmz	log	pptx	ps	rtf	tmp	troff	txt	wp	xls
csv	49	0	0	0	0	3	2	0	1	0	23	0	0	0	11	5	1	0	0
doc	0	28	0	5	8	2	1	3	0	6	2	7	0	0	0	1	5	3	31
docx	0	4	19	16	0	0	0	13	0	18	0	36	0	0	1	0	0	2	0
gz	0	0	1	27	0	0	0	18	0	18	0	31	0	0	0	0	0	2	0
hlp	0	0	0	0	82	1	8	0	0	0	2	0	0	0	0	0	3	0	1
html	1	0	0	0	8	30	20	0	8	0	20	0	0	1	0	1	7	0	0
java	1	0	0	0	5	2	85	0	0	0	6	0	0	2	1	0	1	0	0
jpg	0	1	3	21	1	0	0	25	0	19	0	32	0	0	1	0	0	1	2
kml	0	0	0	0	0	2	4	0	86	0	10	0	0	0	1	1	0	0	0
kmz	0	3	5	21	0	0	0	22	0	24	0	22	0	0	0	0	0	0	0
log	1	0	0	0	2	8	10	0	3	0	67	0	0	1	3	0	3	0	0
pptx	0	0	4	18	0	0	0	17	0	22	0	26	0	0	0	0	0	3	3
ps	0	0	0	1	1	0	1	0	0	0	23	2	63	2	0	1	3	0	0
rtf	0	0	0	0	2	4	0	0	0	0	1	1	2	85	0	0	8	0	0
tmp	0	0	0	0	5	13	6	0	1	0	51	0	0	0	19	0	8	0	0
troff	3	4	0	0	3	6	10	0	0	0	12	0	1	0	0	54	10	1	0
txt	3	1	0	0	15	3	15	0	3	0	19	0	1	0	4	5	29	0	1
wp	0	8	0	0	9	1	2	0	0	0	1	0	0	1	0	0	15	57	6
xls	0	6	0	0	6	0	0	1	0	0	0	1	0	0	0	3	0	5	75
