True	csv	doc	dwf	gif	gz	hlp	html	java	jpg	log	pdf	png	pps	ppt	ps	rtf	tex	txt	wp	xls	zip
csv	79	2	0	0	0	1	6	0	0	2	1	0	0	0	7	0	0	6	0	0	0
doc	0	48	1	5	0	1	1	0	5	0	0	0	1	11	2	3	0	1	12	3	6
dwf	0	0	15	13	3	1	0	0	38	0	1	3	2	1	0	0	0	0	3	0	21
gif	0	0	7	62	5	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	6
gz	0	0	9	12	15	0	0	0	34	0	1	4	0	0	0	0	0	0	1	0	25
hlp	0	0	0	0	0	75	2	2	0	1	0	0	0	0	0	2	4	5	1	0	0
html	2	0	0	0	0	5	58	2	0	7	5	0	0	0	2	5	7	1	6	0	0
java	0	0	0	0	0	7	8	73	0	4	0	0	0	0	3	2	2	3	0	0	0
jpg	0	0	5	13	13	1	0	0	31	0	1	1	2	4	0	0	0	0	1	1	23
log	2	0	0	0	0	6	17	4	0	33	1	0	0	0	17	2	9	10	0	0	0
pdf	0	0	4	7	1	3	3	0	26	3	18	2	0	0	11	0	0	0	2	1	19
png	0	0	10	25	2	0	0	0	40	0	1	5	0	1	0	0	0	0	0	0	17
pps	0	6	5	10	5	0	0	0	26	0	0	2	2	13	0	0	0	0	4	5	18
ppt	0	8	6	9	5	0	0	1	26	0	1	2	2	17	1	4	0	0	1	2	14
ps	2	0	0	0	0	0	2	2	0	4	1	0	0	0	90	3	0	0	0	0	0
rtf	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	88	3	1	4	0	0
tex	2	1	0	0	0	7	6	3	0	5	0	0	0	0	4	8	53	2	9	0	0
txt	3	0	0	0	0	12	2	5	0	3	3	0	0	0	16	6	2	36	15	0	0
wp	0	5	1	2	0	0	0	1	0	0	0	0	0	6	0	3	0	4	80	1	0
xls	0	23	0	0	0	3	0	2	4	0	1	0	1	7	0	1	0	2	4	48	0
zip	0	0	5	11	2	0	0	0	57	0	1	0	0	0	0	0	0	0	0	0	23
