True	f	fits	gif	hlp	java	jpg	kmz	log	pdf	pps	pptx	sql	swf	tex	text	tmp	troff	unk	wp	xls	xml	zip
f	21	6	0	10	18	0	0	4	0	0	1	5	0	2	5	3	17	5	3	0	1	0
fits	2	63	7	0	0	1	1	0	0	5	3	0	2	0	3	1	0	3	3	6	0	1
gif	0	0	63	0	0	4	3	0	0	4	17	0	2	0	0	0	0	0	1	0	0	4
hlp	6	0	0	75	2	0	0	0	0	0	0	2	0	2	1	1	2	2	4	0	0	0
java	4	0	0	4	66	0	0	4	0	0	0	7	0	5	3	1	4	1	0	0	1	0
jpg	0	0	7	0	1	11	8	0	0	10	36	0	4	0	1	1	0	0	2	0	0	18
kmz	0	0	7	0	0	11	20	0	0	10	26	0	2	0	0	0	0	0	1	0	0	20
log	8	3	0	0	4	0	0	54	1	0	0	3	0	3	2	12	4	0	1	0	7	0
pdf	0	6	3	0	0	9	7	1	17	4	28	0	2	0	3	0	3	0	2	0	1	15
pps	0	1	1	0	0	11	8	0	0	6	38	0	2	0	1	0	0	0	6	9	0	15
pptx	0	0	11	0	0	10	8	0	1	12	34	0	1	0	0	0	0	0	4	2	0	11
sql	2	1	0	4	6	0	0	2	0	1	0	66	0	0	0	5	6	7	0	0	1	0
swf	0	1	9	0	0	6	6	0	1	5	44	0	10	0	1	0	0	0	11	2	0	10
tex	2	0	0	10	2	0	0	11	0	0	0	2	0	48	4	3	10	1	8	0	0	0
text	7	8	4	6	2	1	2	2	2	8	11	2	1	0	8	0	8	8	10	6	0	2
tmp	3	8	0	1	2	0	0	30	6	0	0	5	0	8	0	28	3	1	1	2	1	0
troff	8	2	0	2	3	0	0	3	0	0	0	5	0	4	4	1	59	3	5	0	0	0
unk	5	8	0	6	16	0	1	2	1	2	2	2	1	3	7	3	9	18	10	5	1	1
wp	1	0	0	2	1	0	0	0	1	0	0	0	0	3	5	0	2	4	76	4	0	0
xls	0	2	1	1	1	0	0	0	0	2	1	0	0	0	0	2	0	3	5	82	1	0
xml	3	0	0	4	8	0	0	17	2	0	0	3	0	10	0	1	2	3	3	0	44	0
zip	0	0	7	0	0	12	11	0	0	3	44	0	4	0	0	0	0	0	0	0	0	24
