True	csv	doc	dwf	f	gz	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	troff	wp	xls	zip
csv	88	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	4	1	0	0
doc	0	38	0	1	5	0	2	0	0	0	2	0	0	5	1	3	2	1	1	0	16	19	5
dwf	0	0	5	0	33	0	8	0	2	0	3	5	0	1	2	0	0	12	0	0	1	1	29
f	4	1	0	36	0	13	0	1	0	5	0	0	0	0	1	0	6	0	6	15	11	0	0
gz	0	0	1	0	58	0	7	0	3	0	0	3	0	0	1	0	0	4	0	0	0	0	20
java	0	0	0	5	0	78	0	1	0	2	0	0	0	0	0	0	3	0	8	1	3	0	0
jpg	0	0	8	0	29	0	14	0	5	0	1	5	0	0	3	0	0	9	0	0	3	0	28
kml	3	0	0	0	0	1	0	92	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0
kmz	0	0	4	0	37	0	9	0	12	0	0	2	0	0	2	0	0	7	0	0	0	0	26
log	6	0	0	2	0	11	0	7	0	31	3	0	0	0	0	3	3	0	22	6	3	0	0
pdf	1	0	2	0	21	0	4	3	1	1	27	4	2	1	0	0	0	10	0	0	0	0	23
png	0	0	3	0	27	0	7	0	5	0	2	10	0	0	5	0	0	17	0	0	0	0	25
pps	0	4	3	0	23	0	9	0	3	0	4	6	0	7	2	0	0	10	0	0	11	2	16
ppt	0	2	1	0	26	1	7	0	3	0	0	4	1	12	4	0	0	9	0	0	3	2	24
pptx	0	1	2	0	31	0	11	0	7	0	1	3	1	1	6	0	0	11	0	0	4	0	17
rtf	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	84	1	0	7	1	7	0	0
sql	2	1	0	8	0	12	0	0	0	3	0	0	0	0	0	0	61	1	5	5	2	0	0
swf	0	0	6	0	25	0	7	0	2	0	1	4	0	0	3	0	0	22	0	0	7	1	19
tex	2	0	0	1	0	3	0	0	0	5	0	0	0	0	0	3	9	0	66	2	8	0	0
troff	2	0	0	13	0	3	0	2	0	1	8	0	0	0	0	2	9	0	7	43	9	0	0
wp	0	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	4	2	77	5	0
xls	0	26	0	1	0	1	0	0	0	1	1	0	0	3	0	0	0	6	0	0	7	55	0
zip	0	0	2	0	37	0	12	0	3	0	1	3	0	0	4	0	0	5	0	0	0	0	36
