True	csv	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	ps	rtf	swf	tex	text	tmp	txt	xls	zip
csv	88	0	0	0	0	0	0	0	4	0	0	1	0	2	1	0	2	0	0	2	0	1	0	0
dwf	0	14	0	0	0	8	24	0	0	0	9	0	2	0	5	0	0	24	0	2	0	0	0	11
eps	0	0	53	0	3	0	0	0	3	3	0	1	0	7	2	15	1	0	0	0	3	7	1	0
f	2	0	1	32	6	0	0	6	9	12	0	0	0	9	0	0	0	0	2	6	3	16	0	0
fits	0	0	0	0	70	6	0	0	0	0	0	0	0	1	3	0	0	6	0	2	0	3	7	1
gif	0	0	0	0	0	56	11	0	0	0	1	0	5	0	4	0	0	15	0	1	2	0	1	4
gz	0	4	0	0	0	12	42	0	0	0	4	0	4	0	0	0	0	22	0	0	0	0	0	12
hlp	0	0	0	2	2	0	0	67	6	3	0	0	0	3	0	0	0	0	0	3	0	13	1	0
html	1	0	0	3	0	0	0	2	57	6	0	10	0	13	0	0	1	0	7	0	0	2	0	0
java	0	0	0	8	0	0	0	7	8	58	0	0	0	7	2	0	2	0	4	0	1	2	0	0
jpg	0	8	0	0	2	17	19	0	0	0	9	0	5	0	4	0	0	22	0	0	0	0	0	13
kml	1	0	0	0	0	0	0	0	4	0	0	83	0	1	2	0	0	0	2	0	1	0	0	0
kmz	0	5	0	0	0	12	24	0	0	0	9	0	18	0	1	0	0	16	0	0	0	0	0	15
log	3	0	2	2	0	0	0	1	13	4	0	4	0	49	1	2	2	0	3	1	10	0	0	0
pdf	0	6	2	0	2	10	17	0	2	0	5	2	2	1	29	1	0	8	0	0	0	0	0	15
ps	2	0	29	0	0	0	0	0	5	5	0	1	0	5	4	44	0	1	0	0	3	3	0	1
rtf	0	0	2	0	1	0	0	1	7	1	0	1	0	0	0	1	68	0	2	3	0	11	2	0
swf	0	3	0	0	1	18	15	0	0	0	15	0	2	0	4	0	0	26	0	1	0	0	5	11
tex	1	0	0	1	0	0	0	6	14	2	0	0	0	5	0	0	1	0	50	1	4	17	0	0
text	1	2	1	0	4	4	5	4	16	0	4	0	3	2	0	0	0	9	1	10	1	19	10	4
tmp	4	0	1	0	0	0	0	4	13	3	0	2	0	35	0	0	0	0	1	3	26	5	2	0
txt	3	0	2	5	7	0	0	7	6	2	0	0	0	7	1	0	0	0	2	21	8	26	0	0
xls	0	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	1	0	1	4	1	87	0
zip	0	7	0	0	0	9	22	0	0	0	11	0	6	0	4	0	0	21	0	0	0	0	0	23
