True	csv	dbase3	doc	dwf	f	fits	gif	gz	hlp	java	kml	log	pdf	png	ppt	ps	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml
csv	78	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	1	5	5	3	0	2
dbase3	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	26	2	1	0	2	8	1	0	0	0	0	2	2	0	1	5	2	2	1	4	4	6	32	3
dwf	0	0	0	11	0	0	16	31	0	0	0	0	2	10	3	0	0	25	0	0	0	0	0	0	0	0
f	2	2	0	0	27	1	0	0	1	15	0	2	0	0	0	5	4	0	0	2	5	8	17	8	0	0
fits	0	7	1	5	0	58	2	2	0	0	0	0	0	2	3	0	0	2	0	1	0	0	0	8	8	1
gif	0	0	1	5	0	0	55	18	0	0	0	0	1	3	1	0	0	17	0	0	0	0	0	0	0	0
gz	0	0	0	5	0	0	17	54	0	0	0	0	3	9	2	0	0	12	0	0	0	0	0	0	0	0
hlp	0	2	0	0	13	0	0	0	57	1	0	0	0	0	0	1	2	0	0	0	2	2	11	9	0	1
java	0	0	0	0	9	0	0	0	4	55	0	3	0	0	0	2	2	0	1	0	2	5	2	6	0	4
kml	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	1	2	0	0	0	0	0	4	1	0	23
log	2	3	0	0	2	1	0	0	0	0	4	30	0	0	0	10	4	0	2	1	13	4	7	0	0	19
pdf	1	0	2	8	0	2	9	22	0	0	3	1	14	9	3	8	0	11	0	0	0	0	0	0	0	3
png	0	0	1	8	0	0	20	27	0	0	0	0	4	18	0	0	0	22	0	1	1	0	0	0	0	0
ppt	0	0	9	11	0	0	14	19	0	1	0	0	2	7	8	0	0	9	0	1	0	0	0	0	21	0
ps	4	2	0	0	0	0	0	3	0	4	0	2	5	1	0	66	0	0	0	1	0	5	6	1	0	3
sql	2	2	0	0	11	0	0	1	2	1	0	4	0	0	0	0	43	0	1	0	13	7	3	8	0	5
swf	0	0	0	10	0	0	15	26	0	0	0	0	0	13	0	0	0	28	0	0	0	0	0	0	5	0
tex	3	0	0	0	4	0	0	0	1	2	0	0	1	0	0	3	6	0	38	0	6	2	12	5	0	18
text	0	0	3	3	3	4	11	7	1	0	0	0	0	3	2	5	3	3	0	8	2	4	20	9	7	0
tmp	1	4	1	0	3	0	0	0	0	1	2	13	1	0	0	3	0	0	3	1	33	6	7	2	1	15
troff	2	0	0	0	4	0	0	0	2	3	0	2	0	0	0	10	4	0	0	5	3	48	10	6	0	2
txt	6	1	0	0	5	3	0	0	1	0	1	5	1	0	0	8	0	0	3	1	2	4	39	19	0	0
unk	0	5	3	3	5	3	2	0	1	8	0	1	0	4	0	0	2	0	0	1	1	8	16	24	8	3
xls	0	1	7	0	0	0	2	0	0	0	0	0	0	0	4	0	1	1	0	1	0	0	2	3	78	1
xml	0	0	0	0	1	0	0	0	0	3	17	3	0	0	0	1	1	0	3	0	4	0	5	1	0	62
