True	csv	doc	dwf	fits	hlp	kml	log	png	sql	text	tmp	txt	wp	xml
csv	78	0	0	0	2	0	11	0	6	2	0	3	0	0
doc	1	85	2	0	0	0	2	2	2	2	0	0	0	0
dwf	0	0	87	0	0	0	0	12	0	0	0	0	1	0
fits	0	4	9	82	1	0	0	8	0	1	0	1	0	0
hlp	0	2	0	0	79	0	0	0	7	5	0	1	10	0
kml	0	0	0	0	0	78	8	0	0	0	0	5	0	7
log	0	0	0	0	0	3	79	0	2	1	3	1	1	4
png	0	0	15	0	0	0	0	82	0	1	0	0	5	0
sql	6	1	0	0	3	0	7	0	69	0	3	3	0	0
text	0	19	6	9	3	0	4	11	11	19	4	19	2	0
tmp	0	0	0	0	5	0	14	0	25	3	39	8	4	1
txt	4	0	0	5	9	0	7	0	6	7	4	40	12	0
wp	0	8	1	2	2	0	0	7	3	1	0	1	80	0
xml	0	0	0	0	1	11	12	0	1	1	0	0	0	74
