True	dbase3	docx	dwf	jpg	log	png	pps	ppt	rtf	sql	text	troff	unk	xls	xml
dbase3	96	0	0	0	0	1	0	0	0	0	0	1	0	0	0
docx	0	93	0	0	0	0	6	6	0	0	0	0	0	0	0
dwf	0	0	78	7	0	1	4	5	0	0	1	0	0	0	0
jpg	0	0	8	55	1	2	10	9	0	0	2	0	2	5	0
log	0	0	0	0	65	0	0	0	2	0	2	3	0	0	30
png	0	3	20	1	0	45	11	13	0	0	1	0	0	0	0
pps	0	4	16	4	0	4	32	20	1	0	2	0	0	16	0
ppt	0	0	9	6	0	5	26	21	0	1	4	0	0	26	0
rtf	0	0	2	0	4	0	1	0	94	0	0	0	0	0	4
sql	0	0	0	0	11	0	0	0	2	58	5	10	2	0	13
text	0	3	3	5	5	2	3	7	4	9	31	9	4	18	0
troff	0	0	0	0	8	0	0	0	0	17	8	57	3	0	12
unk	0	1	3	0	14	1	1	1	3	15	23	10	22	3	5
xls	0	0	0	1	0	0	2	5	0	0	2	0	0	89	0
xml	0	0	0	0	11	0	0	0	3	4	0	2	0	0	79
