True	csv	dbase3	doc	fits	gif	hlp	jpg	log	pdf	png	ps	rtf	tex	tmp	troff	xls
csv	75	0	0	0	0	0	0	3	0	0	4	0	3	4	8	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	43	2	0	4	2	0	3	3	0	2	0	0	0	44
fits	0	0	1	86	1	0	5	0	2	5	0	0	0	0	0	0
gif	0	0	3	2	68	0	3	0	7	22	0	0	0	0	2	1
hlp	4	0	0	1	0	78	0	1	1	0	0	1	3	1	10	0
jpg	0	2	6	0	2	0	67	1	5	7	0	0	0	0	0	6
log	6	0	2	1	0	1	0	52	0	0	10	3	8	10	1	0
pdf	0	1	0	3	4	0	4	1	63	21	0	2	0	0	2	0
png	0	0	2	2	3	0	6	0	3	77	0	0	0	0	0	0
ps	1	0	0	2	0	0	0	5	4	0	79	3	3	3	2	0
rtf	0	0	1	0	0	6	0	0	0	0	3	95	0	0	0	0
tex	2	0	0	0	0	4	0	0	0	0	4	9	72	4	2	0
tmp	11	0	2	2	4	3	0	4	2	0	5	3	6	52	7	0
troff	7	0	0	4	0	4	0	3	0	0	4	0	2	3	74	0
xls	0	0	22	1	2	0	1	0	0	0	0	0	0	0	0	75
