True	csv	dbase3	docx	hlp	html	java	kml	kmz	pdf	png	pps	pptx	sql	swf	tex	text	tmp	txt	unk
csv	86	0	0	0	1	1	4	0	0	0	0	0	0	0	0	1	2	2	2
dbase3	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	89	0	0	0	0	2	0	1	0	10	0	2	0	0	0	0	0
hlp	0	0	0	66	1	4	0	0	0	0	0	0	8	0	0	0	0	5	5
html	21	0	0	1	56	5	7	0	3	0	0	0	1	0	2	3	0	0	6
java	5	0	0	7	1	64	1	0	0	0	0	0	6	0	3	0	1	1	11
kml	3	0	0	0	8	6	84	0	0	0	0	0	0	0	2	0	0	0	2
kmz	0	0	0	0	0	0	0	63	0	5	1	25	0	1	0	0	0	0	0
pdf	1	0	0	0	0	0	2	6	52	2	0	31	0	7	1	1	0	1	0
png	1	0	0	0	0	0	0	3	0	78	0	18	0	3	0	4	0	0	0
pps	0	0	4	0	0	0	0	5	1	6	10	46	4	10	0	8	1	0	0
pptx	0	0	14	0	0	0	0	5	0	2	0	59	0	18	0	1	0	0	0
sql	13	0	2	10	2	8	0	0	0	0	0	0	44	0	1	1	8	2	8
swf	0	0	0	0	0	0	0	1	0	13	3	48	1	37	0	4	0	0	0
tex	1	0	0	0	6	2	2	0	0	0	0	0	8	0	78	0	0	7	1
text	4	0	1	3	1	2	1	1	5	0	2	9	5	2	0	35	2	13	11
tmp	2	0	5	4	7	0	0	0	5	0	0	0	9	0	2	7	56	7	1
txt	11	0	0	6	0	1	0	0	0	0	0	0	5	0	0	16	2	32	22
unk	5	0	2	4	4	5	0	0	3	0	1	2	3	0	1	15	4	10	40
