True	docx	dwf	f	gif	gz	hlp	html	jpg	kml	kmz	log	pps	ppt	ps	sql	swf	tex	text	txt	wp
docx	82	2	0	0	5	0	0	1	0	0	0	2	1	0	0	2	0	0	0	1
dwf	0	83	0	0	3	0	0	1	0	4	0	0	0	0	0	8	0	2	1	0
f	0	0	44	0	0	3	2	0	0	0	16	0	0	4	4	0	0	7	15	0
gif	3	4	0	70	0	0	0	5	0	3	0	3	6	0	0	5	0	0	0	4
gz	0	3	0	0	64	0	0	3	0	10	0	12	2	0	0	4	0	0	0	0
hlp	0	0	26	0	0	60	0	0	0	0	3	0	0	0	2	0	0	0	7	2
html	0	0	4	0	0	0	71	0	4	0	3	0	0	1	3	0	8	0	0	0
jpg	0	3	0	4	3	0	0	63	0	0	0	9	7	0	0	4	0	4	0	3
kml	0	0	2	0	0	0	2	0	82	0	11	0	0	0	0	0	3	0	0	0
kmz	0	6	0	0	21	0	0	1	0	64	0	7	1	0	0	2	0	0	0	3
log	0	0	2	0	0	0	7	0	6	0	71	0	0	9	3	0	8	1	2	0
pps	0	3	0	3	20	0	0	6	0	3	0	14	20	0	0	11	0	13	0	2
ppt	0	1	0	4	20	0	0	3	0	2	0	21	20	0	0	3	0	17	0	7
ps	0	0	1	0	1	0	2	0	0	0	7	0	0	81	0	0	1	4	2	0
sql	0	0	22	0	0	2	2	0	4	0	5	0	0	4	24	0	7	18	8	0
swf	0	5	0	3	15	0	0	13	0	1	0	11	3	0	0	47	0	4	1	4
tex	0	0	10	0	0	0	6	0	5	0	7	0	0	4	2	0	59	1	0	1
text	2	3	17	2	4	0	0	0	1	2	0	1	1	7	2	0	0	41	12	3
txt	0	0	23	0	0	4	5	0	0	0	21	0	0	5	5	0	0	6	26	5
wp	1	5	10	0	0	0	1	4	0	3	1	1	0	0	0	0	0	2	4	78
