True	dbase3	doc	eps	gif	gz	hlp	html	jpg	kmz	pdf	png	pps	pptx	rtf	sql	swf	tex	txt	unk	wp	xml
dbase3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
doc	0	77	0	3	0	1	1	2	1	0	1	8	3	0	0	2	2	2	0	3	0
eps	0	0	76	0	0	0	0	0	0	3	0	1	0	2	0	0	3	7	3	0	5
gif	0	1	1	63	0	0	0	1	0	4	5	1	9	0	0	7	0	0	4	2	0
gz	0	0	0	1	49	0	0	0	7	6	2	2	24	0	0	8	0	0	0	0	0
hlp	0	0	0	0	0	66	0	0	0	0	0	0	0	1	7	0	7	7	12	0	0
html	0	0	2	0	0	0	68	0	0	1	0	0	0	2	2	0	8	3	7	0	8
jpg	0	0	0	4	2	0	2	67	0	1	2	1	7	0	0	1	0	0	2	11	0
kmz	0	0	0	3	22	0	0	0	60	1	5	0	8	0	0	1	0	0	0	2	0
pdf	0	0	2	5	11	0	0	0	3	56	2	1	10	0	0	9	0	0	3	0	1
png	0	0	0	9	5	0	0	1	1	1	63	1	12	0	0	3	0	0	0	3	0
pps	0	6	0	7	16	0	0	0	8	3	5	9	30	0	0	12	0	0	1	2	0
pptx	0	0	0	12	24	0	0	1	6	1	5	3	40	0	0	6	0	0	0	1	0
rtf	0	0	1	2	0	0	0	0	0	1	0	2	0	75	2	0	7	4	2	0	0
sql	0	1	6	1	0	1	2	0	0	0	0	0	3	0	50	0	20	16	1	0	0
swf	0	0	0	8	10	0	0	3	4	2	8	8	18	0	0	30	1	0	0	3	0
tex	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	89	5	2	0	3
txt	0	0	4	0	0	4	1	0	0	0	0	0	0	0	10	0	5	48	24	0	0
unk	0	1	1	2	0	2	3	0	0	2	1	1	1	1	11	0	8	17	44	4	3
wp	0	0	0	3	0	5	0	0	2	0	4	3	1	0	2	0	1	2	9	69	0
xml	0	0	0	0	0	0	11	0	0	0	0	0	0	1	3	0	6	0	1	0	75
