True	dbase3	doc	dwf	eps	f	fits	gz	hlp	html	java	kml	log	pdf	pps	ps	sql	swf	tex	text	tmp	troff	txt	unk	xls
dbase3	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	62	1	0	0	0	1	0	0	0	0	0	0	4	1	2	0	0	4	0	0	0	0	19
dwf	0	0	79	0	0	1	4	0	0	0	0	0	0	12	0	0	3	0	1	0	0	0	0	0
eps	0	0	0	67	0	0	0	0	0	0	0	0	1	0	21	0	0	2	0	2	1	2	0	0
f	0	1	0	0	33	2	0	4	2	7	0	6	0	0	6	6	0	0	8	4	9	10	8	0
fits	0	2	1	0	3	55	0	0	0	0	0	0	0	4	8	0	11	0	2	0	0	8	4	1
gz	0	0	7	0	0	0	63	0	0	0	0	0	3	17	0	0	13	0	0	0	0	0	0	0
hlp	0	0	0	0	7	0	0	71	0	5	0	0	0	0	0	4	0	0	1	0	5	8	1	0
html	0	0	0	1	1	0	0	1	48	5	2	25	0	0	7	0	0	2	0	1	5	0	0	0
java	0	0	0	0	3	0	0	0	0	75	3	11	0	0	0	1	0	2	0	2	0	4	2	0
kml	0	0	0	0	1	0	0	0	2	5	71	13	0	0	1	0	0	1	0	1	0	2	2	0
log	0	2	0	4	0	0	0	0	0	5	0	65	0	0	4	0	0	7	0	4	6	1	0	0
pdf	0	0	2	1	0	0	8	0	0	0	1	5	51	12	9	0	13	0	0	0	0	0	1	0
pps	0	8	6	0	0	0	24	0	0	0	0	0	0	37	0	0	16	0	3	0	0	0	3	12
ps	0	0	0	11	1	1	0	0	0	1	1	12	1	0	58	1	0	0	0	2	1	4	1	0
sql	0	0	0	2	10	0	0	2	1	6	0	2	0	0	2	40	0	1	1	1	13	10	3	0
swf	0	3	18	0	0	0	9	0	0	0	0	0	0	32	0	0	41	0	0	0	0	0	0	2
tex	0	0	0	0	5	0	0	4	1	6	6	5	0	0	0	3	0	81	0	0	0	5	0	0
text	0	14	1	4	2	5	1	0	2	0	0	0	1	5	6	3	1	1	17	2	2	13	8	10
tmp	0	5	0	0	1	0	0	6	0	1	1	12	0	0	5	7	0	0	2	51	2	4	0	1
troff	0	0	0	0	7	1	0	3	1	6	0	0	0	0	5	0	0	0	0	1	64	3	2	0
txt	0	0	0	10	12	5	0	3	2	7	2	4	2	0	3	4	0	1	4	2	7	23	5	0
unk	0	4	1	0	7	2	0	2	0	11	0	4	0	2	7	2	1	0	4	3	10	7	31	1
xls	0	17	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	75
