True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	kmz	log	png	pps	ppt	pptx	rtf	sql	swf	tex	text	tmp	troff	txt	xml
csv	66	0	0	0	0	5	0	0	0	0	1	0	6	0	0	0	0	0	2	0	6	0	1	5	2	0
dbase3	0	100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	81	0	0	0	0	0	0	1	0	0	0	1	11	1	3	0	0	1	0	1	0	0	0	0
docx	0	0	0	86	0	0	0	0	1	4	0	1	0	0	1	0	7	0	0	2	0	0	0	0	0	0
dwf	0	0	0	0	74	0	0	0	2	6	0	1	0	1	0	0	5	0	0	6	0	1	0	0	0	0
eps	0	0	0	0	0	67	3	0	0	1	0	0	2	0	0	0	0	4	1	0	1	0	1	1	14	3
f	5	0	0	0	0	1	37	9	0	0	0	0	4	0	0	0	0	2	9	0	0	0	7	5	17	3
fits	0	0	2	0	1	1	6	69	3	1	0	0	0	0	1	0	3	0	0	1	0	6	0	1	9	0
gif	0	0	2	2	5	0	0	1	63	0	0	0	0	0	4	0	2	0	0	16	0	5	0	0	0	0
gz	0	0	0	0	5	0	0	0	0	51	0	7	0	1	5	1	21	0	0	9	0	0	0	0	0	0
hlp	1	0	0	0	0	1	18	0	0	0	58	0	2	0	0	0	0	2	2	0	0	0	1	0	13	0
kmz	0	0	0	0	22	0	0	0	0	16	0	56	0	0	1	0	8	0	0	2	0	2	0	0	0	0
log	6	0	0	0	0	15	8	0	0	0	0	0	40	0	0	0	0	1	3	0	4	0	11	1	3	12
png	0	0	1	0	2	0	0	3	6	4	0	3	0	64	1	0	12	0	0	9	0	0	0	0	0	0
pps	1	0	12	0	4	0	0	2	2	14	0	1	0	3	10	4	28	0	0	8	0	3	0	0	0	0
ppt	0	0	22	0	1	0	0	0	4	20	0	2	0	2	13	7	22	0	0	8	0	3	0	0	0	0
pptx	0	0	3	10	2	0	0	1	1	20	0	3	0	1	6	2	28	0	1	15	0	0	0	0	0	0
rtf	0	0	2	0	0	8	4	0	0	0	0	0	1	0	0	0	0	94	1	0	0	0	0	0	0	2
sql	6	0	0	4	0	3	9	0	0	0	3	0	8	0	0	0	0	0	36	0	3	4	4	4	8	2
swf	1	0	3	0	3	0	0	2	4	13	0	2	0	9	4	0	24	0	0	36	0	1	0	0	1	0
tex	1	0	0	0	0	4	1	0	0	0	0	0	9	0	0	0	0	2	3	0	73	0	0	0	5	7
text	0	0	13	0	2	3	14	5	2	1	0	0	1	4	2	0	1	2	4	1	0	23	2	3	12	2
tmp	1	0	2	1	0	2	1	2	0	0	0	0	0	0	2	0	0	2	15	0	2	6	42	5	13	5
troff	5	0	0	0	0	10	8	0	0	0	1	0	1	0	0	0	0	0	5	0	1	5	1	57	8	0
txt	3	0	0	0	0	1	23	3	0	0	3	0	3	0	0	0	0	0	5	0	1	2	5	6	40	0
xml	0	0	0	0	0	5	5	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	3	1	1	71
