True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	kml	kmz	log	pps	sql	swf	tex	tmp	troff	txt	unk	wp	xls	xml
csv	69	0	0	0	0	0	2	0	0	0	0	7	0	0	0	3	0	2	0	3	3	6	4	1	0	0	0
dbase3	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	2	0	71	2	0	1	0	2	3	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	6	7	0
docx	0	0	0	89	0	0	0	0	2	9	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
dwf	0	0	0	0	81	0	0	1	0	6	0	0	0	0	1	0	7	0	6	0	0	0	0	0	2	0	0
eps	3	0	0	0	0	81	0	1	0	0	0	2	0	0	0	4	1	0	0	0	0	1	5	0	0	1	3
f	11	0	0	0	0	2	41	0	1	0	0	0	10	0	0	1	0	3	0	0	2	7	13	10	0	0	1
fits	0	1	2	0	3	1	7	55	0	3	0	0	0	0	0	0	1	0	3	0	1	0	10	10	2	1	0
gif	0	0	0	2	0	0	0	5	71	3	0	0	0	0	0	0	8	0	8	0	0	0	0	3	0	0	0
gz	0	0	0	0	4	0	0	0	0	67	0	0	0	0	6	0	18	0	4	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	14	0	0	0	53	0	8	0	0	0	0	4	0	0	3	1	8	7	2	0	0
html	4	0	0	0	0	5	1	0	0	0	0	64	1	2	0	3	0	0	0	1	2	2	2	6	0	0	5
java	3	0	0	0	0	2	9	0	0	0	0	2	62	0	0	5	0	0	0	2	2	0	4	1	0	0	7
kml	0	0	0	0	0	1	2	0	0	0	0	6	1	84	0	1	0	1	0	0	0	0	1	0	0	0	6
kmz	0	0	0	0	8	0	0	0	0	22	0	0	0	0	52	0	13	0	2	0	0	0	0	0	1	0	0
log	5	0	0	0	0	5	2	0	0	0	0	7	4	3	0	52	0	2	0	6	6	1	2	0	0	0	6
pps	0	0	11	0	2	0	0	0	4	44	0	0	0	0	1	0	14	0	8	0	0	0	0	0	4	7	0
sql	8	0	1	1	0	2	21	0	0	0	0	2	5	0	0	1	0	32	0	0	3	2	14	11	0	0	0
swf	0	0	0	0	7	2	0	1	6	15	0	0	0	0	2	0	19	0	39	0	0	0	0	0	6	3	0
tex	0	0	0	0	0	2	5	0	0	0	1	3	3	4	0	3	0	1	0	69	4	0	0	1	0	0	3
tmp	1	0	0	3	0	7	6	0	4	0	0	4	1	0	0	4	0	3	0	1	58	1	2	2	0	0	3
troff	12	0	0	0	0	2	5	1	0	0	0	3	3	0	0	4	0	6	0	0	2	42	12	9	0	0	1
txt	6	0	0	0	0	8	22	2	0	0	0	3	5	3	0	0	0	1	0	0	5	2	35	10	0	0	0
unk	1	0	5	1	0	11	15	5	0	0	0	2	2	0	0	3	0	1	0	2	4	1	13	27	0	4	0
wp	0	0	0	1	5	1	0	1	2	1	1	2	1	0	0	0	2	2	2	0	0	1	5	4	66	1	0
xls	0	0	22	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	68	0
xml	2	0	0	0	0	5	1	0	0	0	0	21	1	14	0	7	0	0	0	0	1	0	0	0	0	0	48
