True	csv	dbase3	doc	docx	dwf	eps	f	gz	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	tmp	troff	txt	unk	wp	xls
csv	69	0	0	0	0	1	8	0	0	0	0	2	0	2	0	0	0	0	0	3	1	2	0	3	3	2	2	1	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	16	2	0	1	1	0	1	0	4	0	1	1	0	0	9	4	1	1	0	2	0	0	0	1	0	0	1	47
docx	0	0	0	78	0	0	0	4	0	0	1	0	2	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
dwf	0	0	0	0	69	0	0	2	0	0	3	0	3	0	3	3	1	0	11	1	0	0	7	0	0	0	0	0	0	0
eps	0	0	0	0	0	43	0	0	3	0	1	1	0	1	0	0	0	0	0	22	1	1	0	0	0	3	11	1	0	0
f	5	0	0	0	0	0	33	0	0	10	0	3	0	2	0	0	0	0	0	3	0	5	0	1	1	18	11	8	0	0
gz	0	0	0	0	0	0	0	50	0	0	0	0	13	0	1	3	5	0	22	0	0	0	6	0	0	0	0	0	0	0
html	5	0	0	0	0	1	0	0	68	13	0	6	0	7	0	0	0	0	0	1	0	1	0	1	0	5	2	3	0	0
java	1	0	0	0	0	1	7	0	0	71	0	2	0	5	0	0	0	0	0	1	2	1	0	0	1	4	0	0	0	0
jpg	0	0	0	1	2	0	0	0	3	0	66	0	0	0	1	1	1	0	10	1	0	0	6	0	0	0	0	2	2	0
kml	0	0	0	0	0	0	2	0	5	4	0	80	0	1	2	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0
kmz	0	0	0	0	9	0	0	5	0	0	0	0	68	0	0	3	1	0	11	0	0	0	4	0	0	0	0	0	0	0
log	0	0	0	0	0	6	0	0	7	3	0	13	0	37	0	0	0	0	0	5	2	0	0	8	5	9	2	3	0	0
pdf	0	0	0	0	6	1	0	8	1	0	1	3	4	1	43	5	2	0	12	5	0	0	8	0	1	0	0	0	0	0
png	0	0	0	0	3	0	0	1	0	0	1	0	5	0	0	66	9	2	10	0	0	0	3	0	0	0	0	0	0	4
pps	0	1	5	0	1	0	0	21	0	0	0	0	5	0	2	6	11	3	25	0	0	0	10	0	0	0	0	3	0	10
ppt	0	0	9	1	1	0	0	5	0	0	3	0	6	0	1	4	14	0	27	1	0	0	7	0	0	0	0	0	2	18
pptx	0	0	0	12	1	0	0	12	0	0	0	0	5	0	1	5	6	1	39	0	0	0	12	0	0	0	0	1	1	0
ps	0	0	0	0	0	9	0	0	3	1	0	2	0	2	4	0	0	0	0	65	0	2	0	0	5	2	5	0	0	0
rtf	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	0	0	0	0	7	82	1	0	3	0	0	3	0	0	0
sql	5	0	0	1	0	1	19	0	0	3	0	3	0	1	0	0	0	0	0	8	0	44	0	2	5	4	4	7	0	0
swf	0	0	1	0	4	0	0	7	0	0	7	0	7	0	0	6	4	1	25	0	0	0	39	0	0	0	0	0	1	2
tex	1	0	0	0	0	0	3	0	4	4	0	3	0	5	0	0	0	0	0	0	4	5	0	60	0	2	9	0	0	0
tmp	0	0	1	4	0	0	3	0	5	0	0	0	0	3	1	0	0	0	0	2	1	5	0	1	38	13	13	3	1	0
troff	4	0	0	0	0	0	12	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	60	9	2	0	0
txt	5	0	0	0	0	1	17	0	2	7	0	0	0	0	0	0	0	0	0	3	1	4	0	1	4	4	41	6	3	0
unk	2	0	2	2	0	1	20	0	3	4	1	1	0	2	0	2	0	1	0	5	3	4	0	0	5	3	7	31	1	5
wp	0	0	0	5	0	0	1	0	0	2	1	0	2	0	1	11	3	1	2	0	0	3	0	0	0	0	1	2	64	0
xls	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	98
