True	csv	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	pps	ppt	ps	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	73	0	0	0	0	0	0	0	0	0	9	0	0	2	0	4	0	0	0	1	4	0	4	0	2	1	3	0	0	0	2
doc	0	65	3	0	0	0	0	1	5	0	2	0	1	0	0	0	0	4	1	0	1	0	2	3	0	0	0	2	0	10	0
docx	0	0	81	0	0	0	0	2	6	0	0	0	1	0	1	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	74	0	0	0	1	7	0	0	0	1	0	7	0	2	3	4	0	0	1	0	1	0	0	0	0	0	1	0
eps	0	0	0	0	46	0	3	0	1	0	3	0	0	1	0	5	0	0	0	36	1	0	1	1	0	1	0	0	0	0	1
f	7	0	0	0	0	22	7	0	0	2	1	9	0	0	0	3	0	0	0	1	8	0	1	3	2	5	5	19	0	0	3
fits	0	0	0	2	0	0	72	1	0	0	0	0	1	0	0	0	2	1	2	0	0	4	0	2	2	0	0	10	0	0	0
gif	0	1	5	1	0	0	1	63	0	0	0	0	3	0	4	0	6	4	2	0	0	3	0	2	0	0	0	0	0	0	0
gz	0	0	0	2	0	0	1	4	66	0	0	0	0	0	10	0	6	6	7	0	0	2	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	2	0	0	0	65	0	5	0	0	0	0	0	0	0	0	6	0	0	2	0	3	1	16	3	0	2
html	2	0	0	0	0	1	0	0	0	2	65	1	0	2	0	1	0	0	0	3	1	0	1	2	1	0	1	3	0	0	11
java	0	0	0	0	0	0	0	0	0	2	0	71	0	0	0	10	0	0	0	0	0	0	0	0	1	2	3	8	0	0	6
jpg	0	0	0	0	0	0	0	1	4	0	2	0	65	0	2	0	4	3	12	0	0	3	0	2	0	0	0	0	0	2	0
kml	0	0	0	0	0	0	0	0	0	0	5	1	0	66	0	2	0	0	0	0	2	0	2	1	0	0	0	0	0	0	19
kmz	0	0	0	10	0	0	0	0	14	0	0	0	0	0	67	0	1	2	8	0	0	0	0	0	0	0	0	0	1	0	0
log	2	1	0	0	2	1	0	0	0	0	1	6	0	6	0	55	0	0	0	4	0	0	5	0	6	2	0	1	0	0	4
pdf	0	0	0	1	1	0	2	4	5	0	2	0	1	4	9	2	55	2	9	0	0	2	0	0	0	0	0	0	1	0	2
pps	0	10	0	2	0	0	1	3	17	0	0	0	0	0	4	1	8	16	20	0	0	2	0	3	0	0	0	0	1	10	0
ppt	0	19	2	2	0	0	1	0	17	0	0	0	3	0	6	0	9	11	18	0	0	4	0	0	0	0	0	0	4	2	0
ps	1	0	0	0	7	1	1	0	0	0	1	1	0	0	0	7	4	0	0	63	1	0	4	5	1	0	0	3	0	0	0
sql	7	3	0	0	1	4	1	0	0	5	3	3	0	2	0	2	0	0	0	3	40	2	0	0	8	3	6	5	0	0	0
swf	0	0	0	1	0	0	0	5	13	0	0	0	9	0	6	0	8	12	15	0	0	26	0	0	0	0	0	0	1	0	0
tex	0	0	0	0	1	1	0	0	0	2	1	3	0	1	0	5	0	0	0	1	2	0	69	1	4	0	2	7	1	0	3
text	0	19	1	0	2	1	7	1	3	1	1	0	1	5	1	0	0	2	2	2	0	1	2	32	1	0	0	7	5	1	0
tmp	2	0	0	0	1	0	0	0	0	2	4	0	0	1	0	5	4	1	1	1	2	0	0	5	56	0	0	3	0	1	3
troff	2	0	0	0	0	4	0	0	0	2	4	1	0	0	0	0	1	0	0	4	0	0	0	7	0	63	2	2	0	0	8
txt	3	0	0	0	3	3	11	0	0	2	2	1	0	1	0	4	2	0	0	0	4	0	1	24	2	6	15	15	2	0	0
unk	1	6	0	0	0	4	4	6	2	1	5	8	0	2	0	2	0	0	1	4	2	0	3	0	3	1	4	40	0	1	2
wp	0	0	1	7	0	0	2	0	0	1	1	0	3	0	5	0	0	2	3	0	1	5	0	0	0	0	1	5	63	0	0
xls	0	24	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	5	0	0	3	0	3	0	0	0	6	1	58	0
xml	0	0	0	0	0	0	0	0	0	0	9	0	0	10	0	5	0	0	0	1	2	0	1	0	1	0	0	0	0	0	72
