True	csv	dbase3	doc	docx	dwf	eps	f	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml
csv	63	0	0	0	0	0	5	0	0	2	8	2	0	0	0	3	0	0	0	0	0	0	0	0	3	1	9	4	6	1	0	2
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	38	1	0	1	0	1	1	0	1	0	0	0	0	1	0	2	2	6	2	0	0	1	0	1	3	0	0	1	43	0
docx	0	0	0	82	0	0	0	0	4	0	0	0	0	0	4	0	0	0	3	2	2	0	0	2	0	0	0	0	0	0	0	0
dwf	0	0	0	0	76	0	0	0	3	0	0	0	2	0	3	0	1	6	0	0	5	0	0	4	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	71	2	0	0	1	0	0	0	1	0	6	2	0	0	2	0	1	0	0	1	8	5	0	1	0	0	0
f	4	0	0	0	0	1	25	0	0	4	1	4	0	0	0	4	0	0	0	0	0	0	5	0	0	5	5	10	14	16	0	0
gif	0	0	0	0	0	0	0	65	0	0	0	0	3	0	0	0	1	9	1	4	2	0	0	16	0	3	0	0	0	0	1	0
gz	0	0	0	0	3	0	0	1	36	0	0	0	0	0	22	0	1	2	7	5	12	0	0	9	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	7	0	0	71	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	2	2	8	0	0
html	2	0	1	0	0	8	0	0	0	0	56	0	0	3	0	0	0	0	0	0	0	1	0	0	0	3	4	2	1	5	0	11
java	0	0	0	0	0	0	7	0	0	0	3	52	0	0	0	5	0	0	0	0	0	0	0	0	3	0	5	4	3	16	0	1
jpg	0	0	0	0	4	0	0	4	1	0	1	0	52	0	0	2	1	7	5	3	4	0	0	10	0	1	0	0	0	1	1	0
kml	0	0	0	0	0	1	0	0	0	0	4	5	0	67	0	4	0	0	0	0	0	1	0	0	4	0	1	0	0	1	0	14
kmz	0	0	0	0	12	0	0	0	6	0	0	0	0	0	50	0	0	13	2	1	6	0	0	3	0	0	0	0	0	0	0	0
log	1	0	0	0	0	3	5	0	0	0	2	2	0	3	0	51	1	0	0	0	0	0	2	0	6	0	7	8	1	4	0	8
pdf	0	0	0	0	5	2	0	2	4	0	3	0	0	0	7	3	52	2	6	2	3	1	0	8	0	0	2	0	0	1	0	0
png	0	0	0	0	0	0	0	10	2	0	0	0	1	0	1	0	1	50	6	6	7	0	0	11	0	0	0	0	0	0	0	0
pps	0	0	9	0	3	0	0	4	14	0	0	0	2	0	5	0	1	3	15	15	14	0	0	13	0	3	0	0	0	1	4	0
ppt	0	0	11	1	1	0	0	4	7	0	0	0	0	0	2	0	1	1	15	13	15	0	0	10	0	3	1	0	0	0	12	0
pptx	0	0	0	9	4	0	0	9	7	0	0	0	0	0	5	0	0	10	10	5	15	0	0	23	0	0	0	0	0	0	0	0
rtf	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	3	1	0	0	1	0	0
sql	4	0	0	0	0	3	8	1	0	2	2	2	0	0	0	5	0	0	0	0	0	0	17	0	4	9	7	19	3	12	0	2
swf	0	0	0	0	5	0	0	4	5	0	0	0	5	0	4	0	1	13	13	2	10	0	0	37	0	0	0	1	0	0	0	0
tex	2	0	0	0	0	0	1	0	0	1	1	6	0	1	0	9	0	0	0	0	0	2	2	0	63	0	2	4	3	6	0	0
text	0	0	10	1	1	0	1	5	2	0	2	0	2	0	0	3	0	2	1	0	2	0	2	3	1	20	12	9	4	13	13	0
tmp	0	0	2	8	0	1	2	0	0	0	0	1	0	2	0	5	0	0	0	0	0	2	4	0	1	1	56	6	0	8	0	3
troff	1	0	0	0	0	1	6	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	9	61	6	8	0	0
txt	2	0	0	0	0	3	14	0	0	2	1	1	1	2	0	3	0	0	0	0	0	0	2	0	0	12	15	8	13	11	0	0
unk	2	0	5	0	0	5	6	0	0	0	1	4	1	0	0	2	1	5	1	1	0	2	1	0	3	3	3	2	9	44	2	0
xls	0	0	9	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	81	0
xml	0	0	0	0	0	1	0	0	0	0	8	0	0	7	0	3	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	65
