True	csv	dbase3	doc	docx	dwf	f	fits	gif	gz	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	78	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	4	0	1	7	0	0	0	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	24	2	0	1	1	0	1	0	1	4	0	0	0	0	3	3	2	3	0	0	1	0	0	4	0	0	1	1	1	43	0
docx	0	0	0	84	1	0	0	1	6	0	0	1	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
dwf	0	0	0	0	83	0	0	3	3	0	0	0	0	0	0	0	6	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0
f	5	0	0	0	0	33	1	0	0	1	16	0	1	0	2	0	0	0	0	0	1	0	3	0	1	2	5	11	15	9	0	0	0
fits	0	0	1	0	0	4	68	6	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	1	0	5	0	2	4	0	0	3	0
gif	0	0	1	0	3	0	1	70	1	0	0	3	0	0	0	2	8	1	0	1	0	0	0	2	0	4	0	0	0	0	1	1	0
gz	0	0	0	0	4	0	0	1	53	0	0	1	0	4	0	8	15	6	2	2	0	0	0	4	0	1	0	0	0	0	0	0	0
html	5	0	0	0	0	0	0	0	0	54	7	0	2	0	4	0	0	0	0	0	0	0	3	0	9	0	7	1	1	0	0	0	5
java	0	0	0	0	0	1	0	0	0	0	87	0	0	0	5	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0
jpg	0	0	0	0	8	0	0	5	1	0	0	70	0	0	0	0	9	3	0	1	0	0	0	4	0	0	0	0	0	2	0	0	0
kml	0	0	0	0	0	0	0	0	0	2	2	0	73	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	3	1	0	0	9
kmz	0	0	0	0	4	0	0	1	25	0	0	1	0	50	0	1	15	3	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0
log	7	0	0	2	0	4	0	0	0	1	13	0	2	0	40	0	0	0	0	0	5	0	1	0	11	1	3	6	7	1	0	0	2
pdf	0	0	0	0	6	0	0	8	5	0	0	1	3	2	1	38	7	3	1	1	8	1	0	5	0	3	3	2	0	1	0	0	1
png	0	0	0	0	1	0	0	6	4	0	0	0	0	3	0	1	73	1	0	3	0	0	0	2	0	1	0	0	0	0	1	2	0
pps	0	0	5	0	3	0	0	7	20	0	0	3	0	0	0	1	20	9	4	2	0	0	0	7	0	9	0	0	0	1	0	9	0
ppt	0	0	6	1	1	0	1	2	9	0	0	2	0	4	0	2	11	8	5	3	0	0	0	9	0	8	0	0	0	0	2	23	0
pptx	0	0	1	13	3	0	0	4	25	0	0	2	0	3	0	6	13	7	3	6	0	1	0	10	0	0	0	0	0	1	2	1	0
ps	2	0	0	0	0	0	0	0	0	3	2	0	3	0	6	0	0	0	0	0	60	4	0	0	1	5	3	2	5	3	0	0	0
rtf	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	80	1	0	6	0	0	1	2	0	0	0	0
sql	8	0	0	2	0	9	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	42	0	5	0	6	6	7	0	0	0	0
swf	0	0	2	0	6	0	0	7	11	0	0	1	0	3	0	7	22	7	1	2	0	0	0	28	0	1	0	0	0	0	0	0	0
tex	0	0	0	0	0	0	0	0	0	1	7	0	2	0	0	0	0	0	0	0	1	0	1	0	81	0	3	0	0	2	0	0	0
text	0	0	10	2	0	7	4	0	2	0	1	2	0	0	0	1	1	2	1	1	1	0	3	1	0	31	6	4	13	3	0	6	0
tmp	3	0	0	4	0	4	2	0	0	2	4	0	0	0	2	0	0	0	0	1	2	0	1	0	3	5	56	2	5	3	0	3	1
troff	0	0	0	0	0	15	0	0	0	2	4	0	0	0	0	0	0	0	0	0	4	0	4	0	4	3	2	56	6	0	0	0	0
txt	5	0	0	0	0	9	3	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	1	0	3	14	0	9	38	4	0	0	0
unk	1	0	3	2	0	1	3	1	1	3	16	2	0	0	0	0	3	1	0	1	3	3	1	0	1	5	5	4	9	22	1	5	0
wp	0	0	1	1	1	3	0	1	0	0	3	0	0	0	0	0	15	2	0	2	0	0	2	0	0	3	0	2	4	2	59	2	0
xls	0	0	10	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	84	0
xml	1	0	0	0	0	2	0	0	0	15	11	0	12	0	3	1	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	50
