True	csv	doc	dwf	f	gif	gz	html	pptx	ps	rtf	tex	text	troff	wp
csv	69	0	0	3	0	0	4	0	8	0	1	0	8	0
doc	0	69	0	1	0	1	0	3	2	0	0	1	0	24
dwf	0	0	72	0	0	2	0	5	3	0	0	3	1	9
f	4	0	0	42	0	0	12	0	7	0	0	3	21	8
gif	0	0	4	0	84	0	0	6	0	0	0	4	0	5
gz	0	0	1	0	1	72	0	35	0	0	0	0	0	1
html	3	0	0	3	0	0	76	0	8	0	1	1	5	1
pptx	0	0	3	1	2	35	0	38	0	0	0	0	0	30
ps	2	0	0	4	0	0	3	0	89	2	2	0	8	0
rtf	1	3	0	2	0	0	0	0	11	79	5	0	0	0
tex	2	0	0	8	0	0	5	0	5	0	70	3	1	4
text	0	18	1	13	0	2	3	4	12	0	1	15	15	8
troff	6	0	0	8	0	0	2	0	6	0	1	0	58	11
wp	0	0	9	2	0	0	1	1	0	0	0	0	1	87
