True	csv	doc	dwf	eps	gif	html	java	log	pptx	ps	swf	text	troff	txt	unk
csv	71	0	0	1	2	4	0	3	0	2	0	2	3	3	4
doc	1	83	0	0	0	1	0	0	10	3	2	0	0	0	1
dwf	0	0	85	0	1	0	0	0	15	0	0	1	0	0	0
eps	1	0	0	66	0	4	0	5	1	18	0	0	0	3	1
gif	0	3	11	0	72	0	0	0	8	0	10	0	0	0	3
html	2	0	0	0	0	75	1	2	0	7	0	0	0	5	7
java	0	0	0	0	0	5	51	8	0	2	0	0	1	16	17
log	0	0	0	4	0	9	3	59	0	6	0	0	6	6	5
pptx	0	4	0	0	5	0	0	0	80	0	8	0	0	0	0
ps	2	0	0	25	0	0	2	6	2	61	0	0	2	1	2
swf	0	0	2	0	5	0	0	0	62	0	33	0	0	1	2
text	1	21	3	0	7	2	0	3	10	3	1	7	4	22	15
troff	2	0	0	0	3	7	3	0	1	1	1	0	58	11	11
txt	8	0	0	8	0	1	1	5	0	1	0	2	2	49	17
unk	0	9	0	0	1	5	0	1	1	5	0	4	4	19	54
