True	csv	dbase3	docx	dwf	f	fits	gif	html	java	kml	kmz	pdf	pps	rtf	troff	txt	unk	xls
csv	79	0	0	0	7	0	0	6	0	1	0	0	0	0	5	2	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	89	0	0	0	1	0	0	0	3	2	5	0	0	0	3	0
dwf	0	0	1	89	0	0	2	0	0	0	4	2	5	0	0	0	0	0
f	7	0	0	0	44	8	0	6	6	0	0	2	0	0	4	13	7	0
fits	0	0	2	4	2	76	2	0	0	0	3	6	2	0	0	4	1	0
gif	0	0	6	4	0	4	66	0	0	0	3	16	1	0	0	0	0	1
html	1	0	0	0	2	2	0	83	0	3	0	3	0	0	0	1	3	0
java	0	0	0	0	15	0	0	4	64	2	0	0	0	0	1	2	11	0
kml	0	0	0	0	3	0	0	6	4	76	0	2	0	0	0	5	0	0
kmz	0	0	3	9	0	0	0	0	0	0	79	2	8	0	0	0	0	0
pdf	0	0	0	6	0	1	0	4	0	1	6	61	16	1	1	0	2	0
pps	0	0	3	9	0	2	0	0	0	0	15	9	48	0	0	0	2	12
rtf	0	0	0	0	1	0	0	1	0	0	0	6	0	88	0	2	1	0
troff	4	0	0	0	18	0	0	4	3	2	0	4	0	0	50	8	5	0
txt	7	0	0	0	24	5	0	4	3	0	0	4	0	1	5	33	13	0
unk	1	0	0	2	11	11	0	5	7	2	0	1	2	2	1	7	48	3
xls	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	5	84
