True	csv	docx	eps	f	fits	gif	java	jpg	pdf	png	pptx	rtf	swf	tex	text	tmp	troff	unk	xls	xml
csv	72	0	4	4	0	0	0	0	1	0	0	3	0	1	0	5	0	6	0	0
docx	0	84	0	0	0	1	0	0	1	1	4	0	2	0	1	0	0	0	0	0
eps	0	0	84	1	4	0	0	0	3	0	0	3	0	1	2	1	1	0	0	0
f	1	0	0	52	2	0	4	0	0	1	0	1	0	1	2	2	13	14	0	5
fits	0	0	0	1	72	1	0	0	1	2	8	0	2	0	2	1	2	5	2	0
gif	0	2	0	0	1	64	0	4	9	6	7	0	5	0	3	0	0	0	1	0
java	0	0	0	7	0	0	72	0	0	0	0	1	0	1	0	4	2	9	0	4
jpg	0	0	2	0	2	4	0	61	4	3	12	0	1	0	1	0	0	3	2	0
pdf	0	1	1	0	0	2	0	1	62	3	22	0	7	0	1	0	0	0	0	1
png	0	0	0	0	0	1	0	1	2	66	19	0	5	0	0	0	0	0	0	0
pptx	0	17	0	0	0	2	0	5	5	4	61	0	8	0	0	0	0	0	0	0
rtf	0	0	1	0	0	0	0	0	0	0	0	99	0	0	0	0	0	2	0	0
swf	0	1	4	0	0	1	0	3	2	9	32	0	32	0	0	0	0	4	10	0
tex	0	0	4	3	0	0	1	0	2	0	0	10	0	77	0	3	0	3	0	3
text	0	3	4	12	9	3	0	1	0	1	10	0	0	0	32	4	4	9	10	0
tmp	0	4	3	1	1	1	0	0	4	0	1	0	0	1	4	78	2	5	1	2
troff	0	0	3	16	0	4	0	0	13	0	0	0	0	0	9	1	48	5	0	2
unk	1	0	8	11	2	3	4	0	6	1	5	0	0	0	5	2	7	37	4	2
xls	0	2	0	1	0	1	0	1	0	0	0	0	0	0	5	0	1	2	89	0
xml	0	0	3	0	0	0	2	0	4	0	0	4	0	1	0	3	1	1	0	83
