True	csv	docx	fits	gif	gz	html	java	jpg	kml	log	pps	rtf	sql	tex	text	tmp	txt	unk	wp	xls	xml
csv	66	0	0	0	0	8	0	0	0	2	0	2	3	3	2	2	9	4	0	0	0
docx	0	86	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
fits	0	2	85	2	1	1	0	0	0	0	4	0	0	0	0	0	2	4	5	0	0
gif	0	2	2	67	1	0	0	2	0	0	16	0	0	0	2	0	0	0	9	0	0
gz	0	1	0	1	60	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0
html	0	0	0	0	0	78	4	0	1	2	0	0	0	0	0	3	0	0	1	0	10
java	3	0	0	0	0	3	62	0	2	9	0	0	5	0	0	2	8	1	4	0	0
jpg	0	0	2	1	2	2	0	66	0	0	26	0	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	6	4	0	64	6	0	1	0	0	0	2	1	1	0	0	14
log	3	0	0	0	0	7	2	0	0	63	0	1	2	4	0	13	4	2	0	0	1
pps	0	0	0	2	26	0	0	1	0	0	47	2	0	0	1	1	0	0	11	9	0
rtf	1	0	0	0	0	2	0	0	0	1	0	91	0	0	0	0	3	0	1	1	0
sql	7	2	0	0	0	2	1	0	0	9	0	0	39	4	6	11	17	3	2	0	0
tex	2	0	0	0	0	3	2	0	3	5	0	4	2	62	0	2	5	3	1	0	2
text	0	1	8	2	3	1	1	2	0	3	1	1	1	0	28	5	19	0	8	19	0
tmp	0	4	2	0	0	13	0	0	0	3	0	2	4	8	4	46	7	0	6	0	1
txt	2	0	15	0	0	4	2	1	0	8	0	0	1	0	4	4	47	0	5	0	0
unk	0	1	11	2	0	7	10	2	0	2	0	0	5	0	1	2	19	23	6	4	2
wp	0	1	4	1	1	0	0	3	0	0	5	0	0	0	0	0	0	1	84	0	0
xls	0	2	4	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	7	81	0
xml	0	0	0	0	0	15	1	0	6	7	0	0	0	0	1	2	0	3	0	0	67
