True	csv	dbase3	dwf	f	fits	gif	gz	html	jpg	kml	kmz	pdf	png	ppt	pptx	ps	sql	tex	txt	unk	xls	xml
csv	79	0	0	8	0	0	0	0	0	2	0	1	0	0	0	1	5	4	2	1	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	85	0	0	1	2	0	1	0	3	1	1	3	2	0	0	0	0	0	0	0
f	2	0	0	30	6	0	0	0	0	5	0	2	0	0	0	5	9	0	25	13	0	2
fits	0	0	3	1	79	4	0	0	2	0	0	0	3	3	0	0	0	0	1	1	1	0
gif	0	0	1	0	4	84	0	0	2	0	0	1	5	5	0	0	0	0	0	0	0	0
gz	0	0	1	0	0	2	64	0	1	0	12	4	2	7	10	0	0	0	0	0	0	0
html	3	0	0	1	0	0	0	63	0	5	0	2	0	0	0	7	2	1	2	3	0	10
jpg	0	0	1	0	0	3	6	2	70	0	1	1	11	6	1	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	4	0	78	0	1	0	0	0	0	5	1	3	0	0	8
kmz	0	0	17	0	0	1	11	0	0	0	61	3	3	5	4	0	0	0	0	0	0	0
pdf	0	0	5	0	1	2	12	0	1	2	5	61	0	5	0	4	0	1	1	0	0	0
png	0	0	7	0	0	8	6	0	1	0	4	0	63	5	4	0	0	0	0	0	0	0
ppt	0	0	3	0	1	4	20	0	1	0	1	0	5	40	10	0	1	0	0	1	13	0
pptx	0	0	6	0	0	2	22	0	2	0	1	2	9	22	28	0	0	0	0	1	0	0
ps	1	0	0	1	5	1	0	0	1	4	0	7	0	0	0	71	1	3	2	0	0	4
sql	0	0	0	12	0	0	0	6	0	0	0	0	0	0	0	4	57	1	9	6	0	0
tex	1	0	0	3	0	0	0	3	0	3	0	0	0	0	0	3	2	80	3	3	0	1
txt	3	0	0	19	6	0	0	3	0	0	0	2	0	2	0	6	2	5	42	11	0	0
unk	1	0	0	11	16	0	0	1	1	1	0	0	0	4	1	11	6	2	14	27	4	0
xls	0	0	2	0	5	2	0	0	1	0	0	0	0	23	2	0	0	0	0	0	63	0
xml	0	0	0	1	0	0	0	2	0	27	0	8	0	0	0	4	3	2	0	3	0	52
