True	dbase3	docx	dwf	eps	f	gif	html	jpg	kml	kmz	log	pdf	pps	ppt	ps	rtf	sql	swf	tmp	troff	unk	xls	xml
dbase3	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	85	2	0	0	0	0	1	0	4	0	1	6	1	0	0	0	2	0	0	0	0	0
dwf	0	0	74	0	0	0	0	1	0	7	0	1	7	1	0	0	0	6	0	0	0	0	0
eps	0	0	0	84	0	0	0	0	0	1	1	1	1	0	11	0	1	0	0	0	1	0	2
f	0	0	0	1	34	0	3	1	0	0	9	0	0	0	4	2	9	0	4	9	24	0	0
gif	0	2	7	0	0	79	0	5	0	0	0	1	4	3	0	0	0	5	0	0	0	2	0
html	0	0	0	2	4	0	66	0	6	0	1	2	0	0	3	2	2	0	0	0	1	0	11
jpg	0	0	8	1	0	6	3	52	0	1	0	3	8	7	0	0	0	7	1	0	2	2	0
kml	0	0	0	0	1	0	5	0	60	0	10	1	0	0	0	0	1	0	1	0	6	0	13
kmz	0	0	3	0	0	4	0	0	0	64	0	0	17	3	0	0	0	1	0	0	0	0	0
log	0	0	0	2	5	0	5	0	0	0	69	2	0	0	7	1	0	0	4	3	6	0	1
pdf	1	1	1	5	1	2	0	2	0	2	0	60	11	3	5	0	0	8	1	0	1	0	0
pps	0	1	5	0	0	4	0	2	0	9	0	3	18	27	0	0	1	18	0	0	0	5	0
ppt	0	0	3	1	0	3	0	3	0	6	0	6	25	18	0	0	1	16	0	0	0	14	0
ps	0	0	0	28	2	0	0	0	0	2	9	4	0	0	49	0	0	0	1	0	1	0	0
rtf	0	0	0	4	0	0	1	0	0	0	0	0	0	0	3	81	0	0	0	0	3	3	2
sql	0	0	0	3	22	0	2	0	0	0	2	0	0	0	1	1	54	0	5	3	5	0	0
swf	0	0	8	2	0	3	0	6	0	7	0	4	13	6	0	0	0	45	1	0	1	3	0
tmp	0	3	0	6	5	0	3	0	0	0	3	0	0	0	14	3	3	0	54	2	4	0	4
troff	0	0	2	7	4	0	4	0	0	0	5	0	0	0	5	0	6	0	4	49	9	0	0
unk	0	1	1	1	22	0	4	0	1	1	0	4	0	5	4	2	5	0	7	2	43	5	0
xls	0	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	0	3	0	0	1	90	0
xml	0	0	0	1	1	0	3	0	10	0	10	2	0	0	1	2	0	0	3	2	0	0	61
