True	csv	dbase3	doc	docx	dwf	f	gz	hlp	html	jpg	log	pdf	png	pps	ppt	pptx	ps	tex	text	tmp	txt	unk	wp	xls
csv	73	0	0	0	0	12	0	0	10	0	3	0	0	0	0	0	0	1	0	1	1	2	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	44	2	1	2	1	1	0	1	0	0	1	7	12	1	0	0	1	0	0	0	4	14
docx	0	0	0	92	1	0	1	0	0	0	0	1	1	3	0	4	0	0	0	0	0	0	0	0
dwf	0	0	0	0	86	0	4	0	0	1	0	4	1	3	1	2	0	0	0	0	0	0	0	0
f	3	0	0	0	0	32	0	5	6	0	5	0	0	0	0	0	6	0	9	2	9	20	0	0
gz	0	0	0	0	3	0	52	0	0	2	0	15	0	13	0	10	0	0	0	0	0	0	1	1
hlp	0	0	0	0	0	10	0	63	0	0	2	0	0	0	0	0	0	3	1	3	2	9	3	0
html	1	0	0	0	0	4	0	0	79	0	4	2	0	0	0	0	1	2	2	2	3	2	0	0
jpg	0	0	0	0	3	0	0	0	0	68	1	4	3	7	5	6	0	0	1	0	0	1	0	0
log	4	0	0	1	0	3	0	1	6	0	52	2	0	0	0	0	7	8	0	9	1	1	0	0
pdf	1	0	0	1	3	0	4	0	1	2	2	62	1	4	0	10	5	0	0	1	0	0	1	0
png	1	0	0	1	21	0	5	0	0	4	0	5	35	11	0	10	0	0	0	0	0	0	1	0
pps	0	0	3	2	4	0	15	0	0	0	0	14	0	18	13	13	0	0	0	0	0	2	6	12
ppt	0	0	13	2	6	0	20	0	0	3	0	4	1	22	9	16	0	0	0	0	0	0	4	3
pptx	0	0	0	14	6	0	16	0	0	1	0	9	1	22	1	24	0	0	0	0	0	0	1	0
ps	4	0	0	0	0	4	0	0	7	1	13	4	0	0	0	0	69	1	2	0	0	0	0	0
tex	0	0	0	0	0	1	0	2	2	0	8	1	0	0	0	0	3	81	0	9	1	4	0	0
text	1	0	15	1	2	12	0	0	3	4	1	0	0	9	2	1	6	4	23	0	8	2	2	2
tmp	1	0	0	0	0	5	0	3	4	0	12	0	1	0	1	0	9	3	6	39	9	0	2	0
txt	8	0	0	0	0	20	0	3	1	0	13	0	0	0	0	0	10	1	15	3	12	15	2	0
unk	3	0	3	1	0	17	0	2	9	0	4	1	0	3	1	0	3	1	10	6	5	36	3	0
wp	0	0	0	0	4	1	0	0	1	3	0	0	9	3	2	0	0	0	1	0	1	6	62	1
xls	0	0	14	2	1	0	0	0	0	1	0	0	0	0	4	1	0	0	0	1	0	1	2	77
