True	dbase3	doc	docx	dwf	eps	fits	gif	gz	hlp	html	jpg	kml	log	pdf	png	pps	ppt	pptx	ps	sql	swf	tex	troff	wp	xls
dbase3	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	66	4	0	0	0	1	0	1	0	0	0	0	0	1	14	0	2	0	1	0	0	2	1	11
docx	0	0	84	1	0	0	1	5	0	0	0	0	0	0	0	1	2	3	0	0	2	0	0	0	1
dwf	0	0	0	88	0	0	3	1	0	0	0	0	0	1	0	1	0	5	0	0	3	0	0	0	0
eps	0	0	0	0	74	0	0	1	1	3	0	0	3	3	0	0	0	0	12	4	0	1	0	0	0
fits	0	0	0	2	6	73	3	1	0	0	0	1	0	0	1	1	1	2	2	0	1	0	1	1	1
gif	0	0	5	1	0	0	80	1	0	0	0	0	0	2	6	3	0	3	0	0	3	0	0	0	0
gz	0	0	0	2	0	0	3	62	0	0	0	0	0	8	1	2	2	12	0	0	8	0	0	0	0
hlp	0	0	0	0	0	2	0	0	78	0	0	0	8	0	0	0	0	0	2	6	0	0	3	0	0
html	0	0	0	0	4	3	0	0	4	70	0	5	7	0	0	0	0	0	4	2	0	2	3	0	0
jpg	0	3	0	2	0	0	3	2	0	0	66	0	0	0	1	0	0	6	0	0	11	0	0	4	0
kml	0	0	0	0	3	0	0	0	0	3	0	69	10	2	0	0	0	0	1	3	0	3	0	0	0
log	0	2	0	0	2	0	0	0	0	2	0	1	73	3	0	0	0	0	7	2	0	5	5	2	0
pdf	0	0	0	5	4	2	2	6	0	1	0	0	0	53	1	1	0	12	7	0	10	0	0	1	0
png	0	1	0	2	0	0	5	4	0	0	0	0	0	0	58	4	2	8	0	0	10	0	0	1	0
pps	0	9	0	6	0	0	4	9	0	0	1	0	0	0	2	23	4	13	0	0	18	0	0	1	3
ppt	0	24	0	4	0	1	3	8	0	0	1	0	0	0	0	16	7	25	0	0	7	0	0	0	5
pptx	0	0	12	5	0	0	8	16	0	0	1	0	0	1	2	2	5	24	0	0	20	0	0	1	0
ps	0	0	0	0	25	1	0	0	1	1	0	1	11	2	0	0	0	0	55	1	0	0	2	0	0
sql	0	1	0	0	1	0	0	0	6	0	0	0	13	0	0	0	0	4	0	61	0	2	9	5	0
swf	0	0	1	6	0	1	5	7	0	0	2	0	0	2	4	1	4	8	0	0	57	0	0	4	0
tex	0	0	0	0	2	0	0	0	5	0	0	1	9	0	0	0	0	0	2	8	0	68	0	5	0
troff	0	0	0	0	2	1	0	0	7	1	0	0	1	0	2	0	0	0	1	8	0	1	72	3	0
wp	0	0	0	4	0	1	0	0	5	0	1	0	0	0	5	7	0	5	0	3	2	0	0	75	0
xls	0	28	1	2	0	0	0	0	0	0	2	0	0	0	0	18	0	0	0	0	1	0	0	2	42
