True	dbase3	doc	docx	eps	f	fits	gz	hlp	html	jpg	kmz	log	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	txt	unk	wp	xls
dbase3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	48	4	0	1	3	0	0	1	0	0	1	1	2	10	2	0	0	0	1	0	0	0	0	2	20
docx	0	0	82	0	0	0	6	0	0	0	1	0	0	0	2	7	0	0	0	1	0	0	0	0	0	0
eps	0	0	0	58	1	1	0	0	3	0	0	2	0	0	0	1	23	1	0	0	0	1	8	2	0	0
f	0	0	0	0	47	0	0	5	0	0	0	0	0	0	1	0	0	0	7	0	0	2	14	20	3	0
fits	0	0	0	1	1	60	1	1	0	1	0	0	0	1	1	5	0	0	0	6	0	4	11	7	0	0
gz	0	0	0	0	0	0	64	0	0	0	4	0	0	2	8	19	0	0	0	8	0	0	0	0	0	0
hlp	0	0	0	0	11	0	0	69	0	0	0	2	0	0	0	0	0	0	8	0	0	2	4	7	4	0
html	0	0	0	0	7	0	0	0	70	0	0	5	0	0	0	0	3	0	4	0	7	0	3	0	1	0
jpg	0	3	0	0	0	0	1	0	2	61	0	0	2	0	7	5	0	0	0	16	0	0	0	0	1	1
kmz	0	0	0	0	0	0	10	0	0	0	63	0	4	2	2	17	0	0	0	3	0	0	0	0	0	0
log	0	2	0	1	1	0	0	0	7	0	0	70	0	0	0	0	5	1	2	0	2	1	3	2	2	0
png	0	0	1	0	0	0	2	0	0	6	1	0	59	2	5	13	0	0	0	7	0	0	0	0	2	1
pps	0	4	0	0	0	0	14	0	0	0	1	0	1	3	20	30	0	0	0	11	0	0	0	1	1	10
ppt	0	11	0	0	0	0	9	0	0	0	1	0	1	3	20	25	0	0	0	13	0	0	0	0	2	12
pptx	0	0	13	0	0	0	19	0	0	0	1	0	2	0	15	30	0	0	0	17	0	0	0	0	2	0
ps	0	0	0	10	2	0	2	0	5	0	0	5	0	0	0	0	65	4	0	0	1	0	4	1	0	0
rtf	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	83	0	0	8	0	0	3	1	0
sql	0	2	0	3	15	0	0	1	7	0	0	6	0	0	0	0	8	0	46	0	1	1	6	4	0	0
swf	0	0	1	0	0	1	7	0	0	0	1	0	4	2	11	23	0	0	0	47	0	0	0	0	2	2
tex	0	0	0	0	10	0	0	0	2	0	0	7	0	0	0	0	0	1	5	0	69	0	0	4	0	0
text	0	7	0	0	11	3	1	1	2	0	0	2	0	0	7	4	4	1	5	2	0	19	11	8	6	7
txt	0	0	0	0	21	4	0	1	3	0	0	4	0	0	0	0	1	0	11	0	1	2	37	7	6	0
unk	0	2	1	3	21	6	0	0	5	0	0	5	1	0	3	0	1	1	4	0	1	0	5	35	4	1
wp	0	0	0	0	0	2	0	1	0	2	0	0	3	1	10	1	0	0	0	6	0	0	0	1	73	1
xls	0	17	0	0	0	1	0	0	0	1	0	0	0	0	10	0	0	0	0	3	0	0	1	0	1	71
