True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	kml	kmz	log	pdf	png	ppt	pptx	ps	rtf	sql	tmp	txt	unk	wp	xls	xml
csv	73	0	0	0	0	8	3	1	0	0	0	1	0	4	0	0	0	0	5	0	2	0	2	0	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	71	0	0	0	1	0	1	0	0	0	0	0	0	1	5	3	1	0	1	0	0	0	2	8	0
docx	0	0	0	83	0	0	0	0	0	6	0	0	2	0	0	2	4	4	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	72	0	0	1	2	5	0	0	3	0	6	1	3	1	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	73	0	0	2	0	0	1	0	1	1	0	1	0	9	0	0	1	4	0	0	0	4
f	12	0	0	0	0	0	28	3	0	0	3	1	0	1	0	0	0	0	4	1	9	11	20	15	0	0	0
fits	0	0	0	0	0	0	5	73	3	0	0	0	0	0	3	3	2	1	3	0	0	1	2	3	6	2	0
gif	0	0	2	2	2	0	0	1	72	0	0	0	1	0	6	6	1	3	0	0	0	5	0	0	1	2	0
gz	0	0	0	0	5	0	0	0	1	47	0	0	12	0	3	3	6	15	0	0	0	0	0	0	0	0	0
hlp	2	0	0	0	0	0	21	0	0	0	54	0	0	2	0	0	0	0	0	0	7	0	8	4	2	0	0
kml	0	0	0	0	0	5	0	0	0	0	0	71	0	1	1	0	0	0	1	0	0	0	0	0	0	0	18
kmz	0	0	0	0	11	0	0	0	3	14	0	0	61	0	0	7	2	2	0	0	0	0	0	0	1	0	0
log	1	0	1	0	0	10	0	0	0	0	0	9	0	48	1	0	0	0	3	5	4	2	4	0	0	0	11
pdf	0	0	0	0	2	2	0	3	3	3	0	0	8	0	60	1	1	4	8	0	0	0	1	0	0	0	3
png	0	0	1	0	3	0	0	0	6	3	0	0	3	0	0	65	4	5	0	0	0	0	0	0	2	1	0
ppt	0	0	33	0	2	0	0	1	2	12	0	0	2	0	6	5	13	17	0	0	1	0	0	0	2	11	0
pptx	0	0	1	9	7	0	0	0	8	21	0	0	9	0	10	15	7	23	0	0	0	0	0	0	0	0	0
ps	6	0	0	0	0	30	0	1	0	0	0	0	0	2	2	0	0	0	50	4	0	1	2	0	1	0	2
rtf	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	3	79	0	1	0	0	0	3	0
sql	11	0	0	0	0	8	12	0	0	0	2	1	0	5	0	1	2	1	4	0	40	6	11	0	0	0	0
tmp	5	0	0	0	0	2	9	2	0	0	1	1	0	6	2	0	1	0	5	0	9	46	10	0	0	0	8
txt	4	0	0	0	0	8	19	5	0	0	1	0	0	5	0	0	0	0	2	0	3	4	35	5	1	0	0
unk	2	0	4	1	0	5	21	9	0	0	3	0	0	1	1	2	3	2	6	0	4	2	11	30	0	1	1
wp	1	0	3	1	2	0	5	0	2	0	0	0	0	1	0	11	2	0	1	0	1	1	7	0	59	3	0
xls	0	0	43	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	51	0
xml	0	0	0	0	0	4	1	0	0	0	0	24	0	1	0	0	0	0	1	2	0	0	0	0	0	0	60
