True	csv	docx	dwf	eps	fits	gif	hlp	java	kml	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	60	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	2	4	0	5	2	3	8	3	5	0	0	2
docx	0	87	0	0	0	0	0	0	0	0	2	1	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	84	0	0	0	0	0	0	0	0	2	4	0	8	0	0	0	3	0	0	0	0	0	0	1	0	0
eps	3	0	0	57	1	0	0	2	0	0	0	0	0	0	0	14	5	0	1	0	0	3	0	9	0	0	0	5
fits	0	0	1	0	74	5	2	0	0	0	0	1	1	0	0	1	1	0	3	0	4	0	1	0	5	3	0	0
gif	0	4	5	0	0	75	0	0	0	0	3	6	5	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0
hlp	1	0	0	0	0	0	71	4	0	0	0	0	0	0	0	0	3	10	0	0	0	0	6	1	6	5	0	0
java	0	0	0	0	0	0	0	74	1	1	0	0	0	0	0	2	0	2	0	2	0	1	2	2	3	2	0	6
kml	5	0	0	0	0	0	0	0	71	2	0	0	0	0	0	3	0	0	0	2	0	0	0	3	1	0	0	16
log	2	2	0	5	2	0	0	5	8	42	0	0	0	0	0	12	0	0	0	2	0	2	4	1	1	0	0	11
pdf	0	0	3	1	1	2	0	0	1	1	48	0	9	0	15	5	0	0	2	0	3	0	1	0	2	0	0	1
png	0	0	2	0	1	10	0	0	0	0	2	55	10	1	9	0	0	0	8	0	0	0	0	0	2	5	0	0
pps	0	0	4	0	0	3	0	0	0	0	1	2	28	3	44	0	0	0	8	0	2	0	0	0	0	4	1	0
ppt	0	0	1	0	1	4	0	0	0	0	2	0	43	3	27	0	0	0	9	0	0	0	0	0	0	2	5	0
pptx	0	14	4	0	1	2	0	0	0	0	1	0	22	2	37	0	0	0	15	0	0	0	0	0	0	0	0	0
ps	2	0	0	21	4	0	0	1	2	1	0	0	2	0	0	55	8	0	0	0	1	2	0	4	0	0	0	1
rtf	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	92	0	0	1	0	0	0	1	0	0	0	0
sql	6	6	0	5	0	0	3	5	0	2	0	0	0	0	0	1	0	40	0	1	4	2	8	7	5	0	0	2
swf	0	0	5	0	2	4	0	0	0	0	4	5	15	0	24	0	0	0	36	0	1	0	0	0	0	0	0	0
tex	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	1	4	1	0	74	0	0	0	5	2	0	0	6
text	1	3	2	2	6	1	0	0	0	0	0	0	18	0	4	2	0	2	1	2	12	5	9	6	9	4	8	0
tmp	0	5	0	4	0	0	0	1	0	4	2	0	1	0	0	7	0	1	0	0	2	50	4	4	6	3	0	5
troff	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	3	0	3	0	0	1	2	65	6	7	0	0	6
txt	9	0	0	0	5	0	1	2	0	0	0	0	0	0	0	4	2	3	0	0	5	6	9	35	11	4	0	0
unk	2	0	0	1	4	0	4	2	1	1	0	0	4	1	1	7	4	2	0	0	1	1	14	4	37	5	4	1
wp	0	0	3	0	2	0	1	1	0	0	0	4	0	3	2	0	1	0	0	0	0	0	0	0	2	80	0	2
xls	0	0	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0	0	0	0	0	0	0	0	2	3	69	0
xml	1	0	0	1	0	0	0	1	26	3	0	0	0	0	0	0	3	0	0	2	0	0	3	0	1	0	0	60
