True	csv	doc	docx	dwf	eps	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	pptx	ps	rtf	sql	tex	text	tmp	troff	txt	wp	xls	xml
csv	55	0	0	0	3	0	0	1	9	0	0	0	0	6	0	0	0	0	3	0	3	1	1	1	10	6	0	0	1
doc	1	50	0	0	1	0	0	1	1	0	1	0	0	1	0	0	4	3	0	0	0	0	6	0	0	5	6	22	0
docx	0	0	87	0	0	0	3	0	0	0	0	0	2	0	0	3	0	5	0	0	0	0	0	0	0	0	1	1	0
dwf	0	0	0	76	0	3	1	0	0	0	1	0	1	0	0	2	0	9	0	0	0	0	0	0	0	0	1	0	0
eps	0	3	0	0	60	1	0	0	2	0	0	0	0	0	3	0	0	0	16	1	1	1	3	1	0	10	0	0	3
gif	0	0	1	6	0	68	1	0	0	0	0	0	3	0	4	5	3	9	0	0	0	0	2	0	0	0	1	0	0
gz	0	0	0	3	0	0	60	0	0	0	1	0	9	0	3	3	2	21	0	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	0	53	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	5	4	14	15	0	0
html	1	0	0	0	2	0	0	0	66	1	0	1	0	4	4	0	0	0	2	2	0	0	2	0	1	0	0	0	12
java	0	0	0	0	0	0	0	5	2	64	0	0	0	12	0	0	0	0	0	0	0	0	0	3	2	6	0	0	4
jpg	0	1	0	1	0	1	0	0	2	0	70	0	0	2	2	0	2	11	0	0	0	0	0	0	0	0	3	2	0
kml	0	0	0	0	0	0	0	0	7	0	0	71	0	2	1	0	0	0	0	0	0	1	0	1	0	5	0	0	12
kmz	0	0	0	11	0	0	12	0	0	0	0	0	60	0	2	3	0	11	0	0	0	0	0	0	0	0	0	0	0
log	1	0	0	0	6	0	0	0	1	4	0	2	0	72	1	0	0	0	5	0	1	5	0	0	2	2	0	0	3
pdf	0	0	0	3	2	2	5	0	1	0	3	0	3	2	49	4	3	22	4	1	0	0	1	0	0	1	0	1	0
png	0	0	0	7	0	0	3	0	0	0	2	0	5	0	1	49	2	14	0	0	0	0	0	0	0	0	10	3	0
pps	0	5	0	3	0	1	12	0	0	0	2	0	6	0	5	9	4	31	0	0	0	0	3	0	0	0	3	13	0
pptx	0	0	9	1	0	0	13	0	0	0	2	0	10	0	4	6	4	43	0	0	0	0	0	0	0	0	3	0	0
ps	0	0	0	0	15	0	0	0	1	0	0	1	1	6	4	0	0	0	64	1	0	0	2	1	0	2	0	0	0
rtf	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	90	0	0	0	0	0	3	1	2	0
sql	2	1	0	0	5	0	0	0	2	4	0	0	0	7	0	0	0	0	3	0	35	2	4	7	7	15	0	0	4
tex	0	0	0	0	0	0	0	1	2	1	0	3	0	13	0	0	0	0	0	5	1	59	0	3	2	8	0	0	1
text	0	11	1	0	1	1	1	0	2	0	0	0	1	2	3	1	2	3	6	1	5	3	13	3	10	20	1	2	1
tmp	3	0	4	0	3	0	0	0	2	0	0	0	0	11	2	0	0	0	4	1	4	3	4	50	2	6	3	0	1
troff	1	0	0	0	0	0	0	0	1	3	0	0	0	3	2	0	0	0	2	0	3	0	0	1	76	11	0	1	0
txt	3	0	0	0	4	0	0	1	4	3	0	0	0	4	0	0	0	0	1	1	6	1	7	2	16	44	3	0	0
wp	0	1	0	0	0	2	0	2	0	0	0	0	5	0	0	3	2	0	0	0	0	0	0	0	0	6	78	2	0
xls	0	17	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	3	75	0
xml	2	0	0	0	0	0	0	0	12	2	0	11	0	8	2	0	0	0	4	0	0	2	0	1	4	0	0	0	54
