True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	pptx	ps	rtf	sql	swf	tex	tmp	troff	txt	unk	wp	xls	xml
csv	59	0	0	0	0	2	0	0	0	2	1	1	0	0	0	5	1	0	3	1	7	0	1	3	0	5	3	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	86	0	0	0	0	1	2	0	0	0	0	0	1	0	0	5	0	0	0	6	0	0	0	0	0	1	0	0
dwf	0	0	0	75	0	0	1	0	4	0	0	0	1	0	5	0	1	2	0	0	0	10	0	0	0	0	0	0	0	0
eps	1	0	0	0	54	0	4	0	0	0	2	0	0	0	0	3	0	0	25	5	1	0	1	2	0	1	0	0	0	1
f	5	0	0	0	0	29	12	0	0	5	1	10	0	0	0	2	0	0	0	0	6	0	0	0	8	12	7	0	0	2
fits	0	0	0	2	0	0	85	0	1	0	0	0	2	0	0	0	2	3	0	0	4	1	0	0	0	0	2	0	0	0
gif	0	0	5	3	0	0	4	70	0	0	0	0	0	0	0	0	3	2	0	0	0	9	0	0	0	0	1	4	3	0
gz	0	0	0	1	0	0	0	1	58	0	0	0	0	0	12	0	7	15	0	0	0	7	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	3	1	0	0	77	0	5	0	0	0	0	0	0	0	0	3	0	1	0	0	2	1	4	0	1
html	2	0	0	0	0	0	0	0	0	3	66	0	0	0	0	3	0	0	3	0	1	0	3	0	0	0	4	0	0	16
java	0	0	0	0	0	6	0	0	0	2	2	68	0	0	0	4	0	0	0	0	2	0	0	2	0	3	6	1	0	4
jpg	0	0	0	6	0	0	0	3	2	0	0	0	63	0	0	2	2	6	0	0	0	11	0	0	0	0	0	5	1	0
kml	0	0	0	0	0	0	1	0	0	0	2	1	0	63	0	8	1	0	0	0	0	0	1	0	0	0	3	0	0	15
kmz	0	0	0	10	0	0	0	1	9	0	0	0	1	0	59	0	0	11	0	0	0	7	0	0	0	0	0	2	0	0
log	0	0	0	0	0	3	3	0	0	0	4	3	0	1	0	58	2	0	6	0	4	0	6	1	2	0	2	0	0	8
pdf	1	0	0	2	1	0	0	3	6	0	2	1	0	1	6	1	47	8	5	2	0	13	0	0	0	0	1	0	0	2
pptx	0	0	17	3	0	0	0	2	20	0	0	0	0	0	0	0	5	16	0	0	1	28	0	0	0	0	0	2	0	0
ps	1	0	0	0	12	0	8	0	0	1	0	3	0	1	0	4	4	0	58	3	0	0	2	0	2	2	1	0	0	0
rtf	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	90	0	0	2	0	0	0	0	3	0	0
sql	3	0	0	0	0	11	0	0	0	2	1	3	0	0	0	3	0	0	1	2	53	0	4	4	0	10	2	0	0	2
swf	0	0	0	4	0	0	0	1	9	0	0	0	0	0	4	0	4	9	0	0	0	68	0	0	0	1	1	1	2	0
tex	1	0	0	0	0	0	0	0	0	2	7	0	0	3	0	9	0	0	2	1	2	0	68	0	0	2	0	4	0	0
tmp	0	0	5	0	1	0	2	0	0	2	9	1	0	0	0	10	4	1	4	0	4	0	0	44	2	2	2	0	0	5
troff	2	0	0	0	0	11	2	0	0	4	5	2	0	1	0	6	0	0	5	0	7	0	0	2	43	8	3	0	0	0
txt	6	0	0	0	0	21	22	0	0	1	0	0	0	0	0	6	0	0	2	0	3	0	2	1	3	21	5	3	0	2
unk	3	0	2	0	1	7	5	2	2	5	3	7	0	0	0	2	0	2	4	1	7	0	0	1	2	7	26	1	5	3
wp	0	0	0	8	0	2	0	1	0	2	0	0	2	0	3	0	0	0	0	0	0	5	0	0	0	0	3	74	2	0
xls	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	96	0
xml	0	0	0	0	0	1	0	0	0	0	8	0	0	14	0	7	0	0	3	0	1	0	1	0	1	0	0	0	0	60
