True	csv	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	swf	tex	text	tmp	txt	unk	wp	xls	xml
csv	85	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	2	2	0	0	0
dbase3	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	75	2	0	0	0	1	1	0	0	0	2	0	0	0	0	0	4	3	0	0	2	0	5	0	0	1	2	2	0
docx	0	0	0	73	0	0	0	0	6	0	0	0	0	0	2	0	1	2	4	1	0	0	2	0	0	0	0	0	1	0	0
dwf	0	0	0	0	77	0	0	0	2	0	0	0	2	0	2	0	0	5	3	1	0	0	4	0	2	0	0	0	0	0	0
eps	2	0	0	0	0	62	0	3	0	0	0	0	0	0	0	3	4	0	0	0	17	1	0	0	2	0	5	0	1	1	0
f	11	0	0	0	0	0	24	2	0	0	2	6	0	0	0	4	2	0	0	0	2	1	0	1	8	1	20	11	3	0	0
fits	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	3	0	7	7	1	0	0
gz	0	0	0	0	3	0	0	0	70	0	0	0	1	0	5	0	0	3	16	1	0	0	9	0	0	0	0	0	0	0	0
hlp	2	0	0	0	0	0	4	3	0	60	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	4	8	0	0
html	3	0	0	0	0	1	1	0	0	0	70	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	5	0	0	7
java	5	0	0	0	0	2	1	0	0	1	1	62	0	1	0	11	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0
jpg	0	0	0	0	0	0	0	0	4	0	1	0	71	0	0	0	0	2	11	3	0	0	7	0	0	0	0	0	2	0	0
kml	0	0	0	0	0	0	0	0	0	0	4	1	0	71	0	3	0	0	0	0	0	0	0	1	0	1	2	0	0	0	15
kmz	0	0	0	0	2	0	0	0	11	0	0	0	1	0	58	0	0	4	10	1	0	0	3	0	0	0	0	0	4	0	0
log	3	0	2	0	0	4	1	2	0	0	4	6	0	2	0	54	0	0	0	0	0	0	0	6	1	5	1	1	1	0	7
pdf	2	0	0	0	7	0	0	0	3	0	0	0	2	0	5	0	52	1	9	4	1	0	10	0	2	3	0	1	0	0	3
png	0	0	0	1	0	0	0	0	4	0	1	0	2	0	3	0	0	57	14	3	0	0	10	0	3	0	0	0	2	0	0
pps	0	0	14	0	2	0	0	1	19	0	0	0	3	0	3	0	0	3	15	18	0	0	12	0	4	0	0	1	5	2	0
ppt	0	0	20	0	1	0	0	0	10	0	0	0	4	0	4	0	0	8	17	18	0	0	15	0	1	0	0	0	2	3	0
ps	0	0	0	0	0	15	2	0	0	0	1	1	0	0	2	4	4	0	0	0	63	0	0	0	2	2	0	2	1	0	0
rtf	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	2	80	0	0	1	1	0	3	2	0	0
swf	0	0	0	0	2	0	0	0	10	0	0	0	1	0	2	0	0	8	10	5	0	0	58	0	1	0	0	0	8	1	0
tex	2	0	2	0	0	0	1	0	0	0	5	0	0	3	0	5	0	0	0	0	0	0	0	81	4	3	2	0	2	0	0
text	1	0	17	0	3	0	6	11	2	0	1	0	2	0	0	1	0	0	2	8	1	2	3	1	25	3	7	5	2	0	0
tmp	8	0	0	4	0	1	6	3	0	1	7	2	0	0	0	3	2	0	1	0	0	0	0	1	3	52	4	0	0	0	1
txt	8	0	0	0	0	1	8	4	0	1	1	3	0	0	0	3	0	0	0	0	0	1	0	2	14	7	37	8	5	0	0
unk	3	0	2	1	0	1	6	2	1	2	0	4	0	0	0	4	0	2	1	0	5	1	0	0	5	0	20	42	4	0	0
wp	0	0	2	0	2	0	0	2	0	1	0	0	2	0	1	0	0	7	2	1	0	1	4	0	0	0	1	1	73	0	0
xls	0	0	55	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	2	29	0
xml	0	0	0	0	0	1	2	0	0	0	26	0	0	8	0	2	4	0	0	0	0	0	0	0	0	1	0	4	0	0	54
