True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kmz	log	pdf	png	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	76	0	0	0	0	2	0	0	0	0	3	0	0	0	4	0	0	0	0	3	0	4	0	2	0	1	1	1	2	0	0	3
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	82	0	0	0	0	1	13	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	0	70	0	0	0	0	4	0	0	0	7	2	0	1	2	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	51	0	1	0	0	0	3	0	0	0	3	1	0	0	0	32	1	0	0	0	2	0	0	2	0	0	0	5
f	7	0	0	0	0	22	4	0	0	2	2	9	0	0	7	0	0	0	0	3	2	9	0	1	2	2	1	7	19	0	0	0
fits	0	1	0	1	0	3	61	3	0	2	0	0	1	0	1	2	2	0	1	2	0	0	6	0	6	0	0	1	3	1	2	0
gif	0	0	2	0	0	0	0	76	3	0	0	0	1	0	0	1	2	1	2	0	0	0	4	0	4	0	0	0	0	2	0	0
gz	0	0	0	5	0	0	1	0	70	0	0	0	0	0	0	3	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0
hlp	2	0	0	0	0	7	0	0	0	71	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1	7	0	0	0
html	4	0	0	0	1	0	1	0	0	0	58	1	0	0	2	1	0	0	0	1	0	1	0	1	0	3	0	1	1	0	0	24
java	1	0	0	0	0	2	0	0	0	3	2	57	0	0	13	0	0	0	0	0	1	2	0	3	0	4	0	0	4	0	0	5
jpg	0	0	0	2	0	0	0	2	2	0	2	0	73	0	0	4	1	3	6	0	0	0	6	0	0	0	0	0	0	0	0	0
kmz	0	0	0	10	0	0	1	0	21	0	0	0	0	46	0	0	1	0	4	0	0	0	9	0	0	0	0	0	0	2	0	0
log	2	0	0	0	1	1	0	0	0	0	2	1	0	0	68	1	0	0	0	5	1	2	0	8	0	1	0	1	2	0	0	6
pdf	3	0	0	4	0	0	1	3	9	0	1	0	3	3	0	50	0	0	4	9	0	1	7	0	0	2	0	0	1	0	0	3
png	0	0	1	2	0	0	0	8	8	0	2	0	1	4	0	2	42	0	9	0	0	0	13	0	0	0	0	0	0	5	0	0
ppt	0	0	1	4	0	0	0	3	12	0	0	0	0	4	0	1	3	15	12	0	0	0	11	0	15	0	0	0	1	10	10	0
pptx	0	0	13	5	0	0	0	2	32	0	0	0	2	2	1	5	0	3	16	0	0	0	21	0	0	0	0	0	0	2	1	0
ps	0	0	0	0	16	1	0	0	0	0	1	3	0	2	6	0	0	0	0	59	1	1	0	2	1	4	0	1	0	0	0	1
rtf	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	91	0	0	3	0	0	0	2	0	0	2	0
sql	4	0	0	0	1	13	0	0	0	0	2	0	0	0	2	0	0	0	0	4	0	48	0	2	2	10	4	4	2	0	0	2
swf	1	0	0	5	0	0	0	4	13	0	1	0	6	1	0	5	1	1	6	0	0	0	52	0	1	0	0	0	0	2	0	0
tex	0	0	0	0	0	1	0	0	0	2	5	5	0	0	3	0	0	0	0	3	1	2	0	75	1	3	0	1	4	0	0	0
text	1	0	0	1	1	12	5	5	1	1	3	3	0	0	4	2	0	0	4	3	2	3	6	1	23	1	4	2	3	0	7	0
tmp	6	0	0	0	0	4	0	0	0	0	6	0	0	0	8	0	0	1	0	4	0	2	0	0	3	60	0	2	0	2	0	1
troff	3	0	0	0	0	10	0	0	0	0	2	4	0	0	4	0	0	0	0	7	0	4	0	2	0	3	41	6	10	0	0	2
txt	6	0	0	0	1	10	7	0	0	4	1	3	0	0	7	0	0	0	0	4	0	2	0	3	16	3	2	17	10	0	0	1
unk	2	0	2	0	2	7	5	1	3	2	7	11	0	1	6	0	0	1	0	4	0	2	1	5	3	0	3	4	28	0	3	0
wp	0	0	1	3	0	0	1	3	0	4	0	0	8	2	0	0	5	4	0	0	0	0	1	0	0	0	2	1	1	64	0	0
xls	0	0	0	1	0	0	1	1	0	0	0	0	2	0	2	0	0	6	0	0	0	0	2	0	10	0	0	0	0	0	76	0
xml	0	0	0	0	0	0	0	0	0	0	11	2	0	0	5	0	0	0	0	2	1	0	0	2	0	2	0	0	0	0	0	75
