True	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
dbase3	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	65	2	0	0	3	0	1	0	0	2	0	0	0	1	0	0	3	2	1	0	1	0	1	0	1	0	1	1	1	2	8	1
docx	0	0	91	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	0	88	0	0	0	3	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	55	2	1	0	0	0	0	0	0	0	4	1	0	0	0	0	29	1	1	0	1	2	0	0	0	1	1	0	3
f	0	0	0	0	0	50	3	0	0	4	9	0	0	0	1	1	0	0	0	0	0	0	3	0	0	4	2	9	5	4	0	0	0
fits	0	1	0	1	0	4	70	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	4	0	6	0	0	0	6	1	0	0
gz	0	0	2	6	0	0	0	49	0	0	0	0	0	4	0	9	2	4	6	10	0	0	0	10	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	9	0	0	64	0	6	0	0	0	0	0	0	0	3	0	0	5	2	0	1	4	0	0	7	7	1	0	0
html	0	0	0	0	0	3	2	0	0	71	1	0	2	0	0	0	0	0	0	0	4	2	0	0	1	0	1	0	0	1	0	0	8
java	0	0	0	0	0	8	0	0	0	4	71	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	6	0	1	0	0	0
jpg	0	0	0	1	0	0	0	1	0	0	0	54	0	0	0	3	2	3	6	4	0	0	0	7	0	1	0	0	0	0	5	6	0
kml	0	0	0	0	0	0	0	0	0	3	0	0	67	0	4	0	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	16
kmz	0	0	0	18	0	0	0	8	0	0	0	0	0	54	0	4	3	2	4	9	0	0	0	2	0	0	0	0	0	0	0	0	0
log	0	0	0	0	0	1	0	0	0	1	6	0	2	0	47	0	0	0	0	0	6	0	2	0	1	2	4	5	3	7	2	0	6
pdf	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	55	1	2	3	10	5	1	0	17	0	0	0	0	0	0	0	0	2
png	0	0	0	5	0	0	0	4	0	0	0	1	0	5	0	3	50	4	4	3	0	0	0	11	0	4	0	0	0	0	1	0	0
pps	0	7	0	5	0	0	3	3	0	0	0	2	0	0	0	2	1	9	17	18	0	0	0	12	0	0	0	0	0	0	1	10	0
ppt	0	15	0	4	0	0	1	11	0	0	0	1	0	2	0	4	2	3	26	11	0	0	0	14	0	2	0	0	0	0	4	5	0
pptx	0	1	13	2	0	0	1	10	0	0	0	0	0	3	0	5	2	7	18	23	0	0	0	18	0	0	0	0	0	0	0	0	0
ps	0	0	0	0	11	0	0	0	0	4	4	0	0	0	3	3	0	0	0	0	62	1	0	0	1	1	0	0	1	1	0	0	0
rtf	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	88	0	0	0	0	0	0	0	1	1	0	3
sql	0	0	0	0	1	17	0	0	1	3	5	0	0	0	4	0	0	0	0	0	2	2	32	0	8	1	6	9	6	1	5	0	2
swf	0	0	0	6	0	0	1	9	0	0	0	2	0	2	0	7	1	4	7	13	0	0	0	52	0	1	0	0	0	0	2	1	0
tex	0	0	0	0	0	14	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	3	0	0	70	0	0	0	4	0	0	0	1
text	0	25	1	2	0	17	6	0	0	0	0	0	0	0	0	0	0	4	4	1	3	1	4	1	0	18	3	7	4	6	1	1	0
tmp	0	0	13	0	0	8	1	0	0	2	1	0	0	0	3	0	0	0	1	0	4	1	4	0	0	4	52	1	5	1	0	2	1
troff	0	0	0	0	0	14	2	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	1	0	1	11	0	65	2	1	1	0	0
txt	0	0	0	0	2	21	3	0	5	2	4	0	0	0	2	0	0	0	0	0	8	2	4	0	0	9	3	8	28	3	0	0	0
unk	0	4	0	0	1	16	5	0	0	3	6	0	0	0	1	0	0	0	1	0	0	2	5	1	1	4	1	3	9	27	2	4	0
wp	0	3	1	8	0	3	0	0	0	0	0	1	0	0	0	0	2	0	2	2	0	3	0	3	0	0	0	3	1	2	66	3	0
xls	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	1	0	0	0	0	0	0	1	55	0
xml	0	0	0	0	0	1	0	0	0	16	1	0	8	0	1	1	0	0	0	0	3	0	0	0	3	0	3	0	0	0	0	0	64
