True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	66	0	0	0	0	2	3	0	0	0	0	1	6	0	3	0	2	0	0	0	0	5	1	2	0	4	1	2	0	1	0	0	0	2
dbase3	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	21	1	0	0	1	1	0	0	0	0	3	3	0	0	1	0	6	0	3	0	1	0	3	0	1	1	1	0	0	0	56	0
docx	0	0	0	90	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	77	0	0	0	0	6	0	0	0	1	0	1	0	0	3	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	72	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	17	3	1	0	1	0	0	0	5	0	0	0	3
f	6	0	0	0	0	1	29	3	0	0	2	1	18	0	0	0	2	0	0	0	0	5	0	6	0	0	2	0	10	4	6	0	0	4
fits	0	0	0	0	1	0	9	62	1	2	0	0	0	1	0	0	0	2	1	0	2	3	0	0	8	0	3	0	0	4	2	0	2	0
gif	0	0	1	0	6	0	0	0	75	0	0	0	0	1	0	0	0	8	2	1	0	0	0	0	8	0	0	0	0	0	1	0	0	0
gz	0	0	0	0	1	0	0	0	0	67	0	0	0	0	0	12	0	5	6	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	7	0	0	0	77	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0
html	3	0	0	0	0	3	2	0	0	0	0	63	2	0	3	0	1	0	0	0	0	2	0	1	0	2	0	1	1	0	1	0	0	15
java	0	0	0	0	0	1	7	0	0	0	2	0	69	0	3	0	3	1	0	0	0	2	1	0	0	1	0	1	0	2	2	0	0	3
jpg	0	0	0	0	5	0	0	0	1	2	0	0	0	72	0	0	0	4	2	2	0	0	0	0	9	0	0	0	0	0	0	3	2	0
kml	0	0	0	0	0	4	1	0	0	0	0	4	1	0	65	0	5	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	14
kmz	0	0	0	0	25	0	0	0	0	12	0	0	0	0	0	57	0	0	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0
log	1	0	2	0	0	3	0	0	0	0	0	1	14	0	4	0	39	5	0	0	0	10	3	0	0	3	1	2	0	3	3	0	0	3
pdf	0	0	0	0	4	1	0	2	0	10	0	0	0	1	1	2	1	50	10	0	4	5	0	0	11	0	1	1	0	1	1	0	0	0
pps	0	0	4	0	1	0	0	1	5	15	0	0	0	1	0	4	0	8	14	2	5	0	0	0	21	0	3	0	0	0	0	3	13	0
ppt	0	0	3	0	2	0	0	0	1	17	0	0	0	1	0	3	0	3	23	4	6	0	0	0	15	0	5	0	0	0	1	8	7	0
pptx	0	0	1	15	1	0	0	1	1	30	0	0	0	1	0	6	0	4	13	0	8	0	1	0	15	0	1	0	0	0	0	0	2	0
ps	1	0	0	0	0	23	1	1	0	0	1	1	3	0	2	0	2	2	0	0	0	57	4	0	0	0	0	3	0	1	0	0	0	1
rtf	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	81	0	0	0	1	0	0	1	0	2	0	0
sql	3	0	0	1	0	3	5	0	0	0	3	0	13	0	0	0	0	0	0	0	0	2	0	46	0	0	5	2	10	2	1	0	0	0
swf	0	0	0	1	5	0	0	1	6	16	0	0	0	2	0	6	0	1	10	0	3	0	0	0	47	0	0	0	0	0	0	3	1	0
tex	1	0	0	0	0	3	3	0	0	0	0	0	8	0	3	0	4	1	0	0	0	0	6	1	0	58	3	1	0	0	1	0	0	9
text	0	0	10	0	0	1	6	1	1	2	3	0	2	6	0	0	0	3	1	0	1	7	2	4	3	0	17	1	2	7	6	0	12	0
tmp	4	0	0	1	0	1	3	0	0	0	3	3	0	0	0	0	1	3	1	1	0	7	0	2	0	3	3	48	3	11	0	0	0	5
troff	1	0	0	0	0	0	10	0	0	0	6	5	11	0	0	0	0	0	0	0	0	2	0	1	0	2	1	2	46	3	1	2	0	1
txt	3	0	0	0	0	3	16	3	0	0	3	3	12	0	2	0	1	0	0	0	0	2	0	3	0	0	5	2	4	29	3	1	0	1
unk	0	0	2	0	0	2	15	7	0	0	3	2	16	2	0	0	1	2	1	0	0	4	1	1	0	0	4	0	2	2	27	1	5	0
wp	0	0	0	1	15	0	0	2	0	0	1	0	1	4	0	2	0	0	1	0	1	0	2	0	1	0	0	0	0	1	0	64	2	1
xls	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	1	0	2	0	0	0	0	1	81	0
xml	2	0	0	0	0	0	0	0	0	0	0	12	5	0	9	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68
