True	csv	dbase3	docx	dwf	f	jpg	pdf	png	ppt	pptx	troff	unk	xls	xml
csv	76	0	0	0	13	0	0	0	2	0	4	3	0	3
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	70	0	0	0	0	1	7	17	0	0	0	0
dwf	0	0	0	80	0	2	0	7	3	7	0	0	0	0
f	12	0	0	0	62	0	0	2	0	0	8	16	0	1
jpg	0	0	0	1	0	72	0	5	12	7	0	2	0	0
pdf	0	0	0	3	3	1	55	5	10	23	1	3	0	1
png	0	0	0	3	0	3	0	74	7	13	0	0	0	0
ppt	0	0	1	0	0	6	1	4	48	37	0	2	4	0
pptx	0	0	5	2	0	12	1	6	19	56	0	0	1	0
troff	9	0	0	0	23	0	0	0	2	0	51	10	0	0
unk	4	0	0	1	24	0	1	1	5	3	6	50	6	1
xls	0	0	0	0	0	2	0	0	42	0	0	1	50	0
xml	2	0	0	0	8	0	0	0	0	0	3	4	0	83
