True	csv	docx	fits	gif	kmz	log	png	ppt	rtf	swf	tmp	troff	txt	unk	xml
csv	59	0	1	0	0	13	0	0	1	0	10	2	11	2	0
docx	0	89	0	2	6	0	0	5	0	6	0	0	0	0	0
fits	0	0	75	2	3	0	2	4	0	8	0	0	1	7	0
gif	0	2	1	79	4	0	7	5	0	6	0	0	0	0	0
kmz	0	0	0	2	79	0	8	3	0	4	0	0	0	0	0
log	1	1	0	0	0	72	0	0	4	0	5	0	2	4	6
png	0	0	0	3	8	0	74	5	0	12	1	0	0	1	0
ppt	0	0	0	4	19	0	5	49	0	24	0	0	0	4	0
rtf	0	0	0	0	0	2	0	1	88	0	0	0	0	2	0
swf	1	0	3	5	10	0	10	13	0	48	2	0	1	2	0
tmp	0	4	2	2	0	20	0	0	4	0	60	1	8	2	2
troff	7	0	3	0	0	4	0	0	0	0	7	48	17	6	6
txt	2	0	6	0	0	6	0	0	0	0	10	11	39	29	0
unk	3	0	8	0	0	7	2	3	0	0	2	1	24	42	5
xml	0	0	0	0	0	18	0	0	7	0	1	1	0	0	69
