True	csv	eps	gif	hlp	html	jpg	kmz	log	pdf	png	ppt	swf	troff	txt	unk	wp	xml
csv	77	2	0	1	0	0	0	4	0	0	0	0	7	6	0	0	0
eps	1	80	0	0	0	0	0	8	0	0	0	0	1	13	2	0	0
gif	0	0	79	0	0	0	0	0	0	4	2	1	0	0	3	9	0
hlp	0	0	0	80	0	0	0	2	0	0	0	0	1	8	7	8	0
html	2	3	0	1	61	0	0	9	1	0	0	0	5	1	3	1	18
jpg	0	2	8	0	1	61	1	0	6	4	4	14	0	0	3	1	0
kmz	0	0	0	0	0	0	55	0	2	11	13	4	0	0	0	3	0
log	0	9	0	1	4	0	0	73	2	0	0	0	1	1	2	0	3
pdf	0	0	11	0	0	0	3	1	59	4	13	11	0	1	2	0	0
png	0	0	5	0	0	0	1	0	5	64	6	10	0	0	0	3	0
ppt	0	0	7	0	0	4	4	0	4	7	45	14	0	0	7	12	0
swf	0	0	10	0	0	0	6	0	4	7	21	53	1	0	1	2	0
troff	3	0	0	0	0	0	0	4	0	0	0	0	58	28	3	1	0
txt	5	5	0	4	3	0	0	2	0	0	0	0	7	61	14	1	0
unk	2	5	1	8	2	0	0	0	2	2	2	0	1	26	43	2	0
wp	0	0	2	7	1	4	0	0	0	2	2	4	0	1	12	69	0
xml	3	2	0	0	4	0	0	13	2	0	0	0	0	0	0	0	69
