True	csv	docx	dwf	f	fits	gif	gz	hlp	html	kml	kmz	pps	ppt	pptx	text	tmp	troff	xls
csv	63	0	0	4	0	4	0	0	11	3	0	0	0	0	6	4	5	0
docx	0	88	0	0	0	1	6	0	0	0	0	2	6	4	0	0	0	0
dwf	0	0	60	0	3	1	5	0	0	0	12	4	2	4	2	0	0	0
f	3	0	0	45	12	0	0	6	2	0	0	0	0	0	11	12	9	0
fits	0	2	3	0	84	6	1	0	0	0	0	5	1	1	0	1	0	2
gif	0	2	2	0	4	77	1	0	0	0	3	2	4	1	0	0	0	0
gz	0	0	5	0	1	1	69	0	0	0	7	9	6	8	0	0	0	0
hlp	0	0	0	20	2	0	0	68	2	0	0	0	0	0	7	3	3	0
html	0	0	0	3	1	0	0	1	72	17	0	0	0	0	1	2	2	0
kml	3	0	0	1	0	0	0	0	6	90	0	0	0	0	0	0	0	0
kmz	0	0	8	0	0	0	18	0	0	0	61	2	1	2	0	0	0	0
pps	0	0	2	0	0	1	27	0	0	1	9	23	17	11	3	1	0	11
ppt	0	2	5	0	2	2	13	0	0	0	1	12	19	11	0	0	0	32
pptx	0	14	1	0	0	5	32	0	0	0	8	13	8	14	0	0	0	2
text	1	0	1	4	5	5	6	1	2	0	1	2	6	3	27	15	2	18
tmp	3	0	0	7	2	3	0	5	15	3	0	0	0	0	4	62	1	0
troff	7	0	0	16	1	0	0	4	4	0	0	0	0	0	2	9	56	0
xls	0	1	0	1	2	0	0	0	0	0	0	1	2	0	1	0	0	83
