True	csv	docx	eps	f	fits	gif	gz	html	java	kml	kmz	log	pdf	png	pps	troff	unk	xls	xml
csv	57	0	2	7	0	1	0	2	0	0	0	9	0	0	0	6	6	0	0
docx	0	78	0	0	0	0	7	0	0	0	2	0	2	3	7	0	0	0	0
eps	1	0	81	0	6	0	0	0	0	1	0	2	3	0	0	0	4	0	1
f	7	0	0	38	5	0	0	2	8	1	0	3	2	0	0	16	16	1	1
fits	0	0	1	3	82	1	0	0	0	0	0	0	9	0	1	0	4	1	0
gif	0	3	0	0	0	68	0	0	0	0	0	0	19	9	6	0	0	1	0
gz	0	0	0	0	0	0	50	0	0	0	12	0	14	2	21	0	0	0	0
html	1	0	2	2	0	0	0	75	2	2	0	3	3	0	0	2	3	0	4
java	5	0	0	10	0	0	0	0	70	0	0	6	0	0	0	7	1	0	0
kml	0	0	2	2	0	0	0	3	5	75	0	1	0	0	0	0	0	0	19
kmz	0	0	0	0	0	3	11	0	0	0	64	0	4	8	10	0	0	0	0
log	2	0	1	3	0	0	0	3	11	1	0	53	1	0	1	5	1	0	10
pdf	1	0	2	0	2	1	4	0	0	2	4	3	65	6	8	1	1	0	2
png	0	0	0	0	5	12	5	0	0	0	3	0	8	47	8	0	0	3	0
pps	0	1	0	0	2	1	18	0	1	0	4	0	11	4	39	0	1	19	0
troff	1	0	0	22	5	0	0	0	5	0	0	0	0	0	0	61	7	7	0
unk	0	1	0	31	4	0	0	0	16	2	0	4	4	2	5	4	25	4	0
xls	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	0	98	0
xml	3	0	3	1	0	0	0	6	10	8	0	5	2	0	0	0	2	0	58
