True	csv	doc	fits	gz	hlp	kml	kmz	log	png	pps	ppt	pptx	rtf	sql	swf	tex	text	troff	txt	wp	xls
csv	71	0	0	0	0	0	0	9	0	0	0	0	0	10	0	7	1	0	5	0	0
doc	1	78	1	0	1	0	0	1	0	3	0	5	2	0	0	0	2	0	0	0	2
fits	0	2	67	0	0	0	0	0	4	3	3	5	0	0	4	0	3	0	8	0	0
gz	0	0	0	51	0	0	4	0	2	12	4	28	0	0	1	0	0	0	0	0	0
hlp	0	0	0	0	73	0	0	7	0	0	0	0	2	4	0	1	2	1	2	5	0
kml	0	0	0	0	0	81	0	11	0	0	0	0	1	1	0	2	1	0	7	0	0
kmz	0	0	0	16	0	0	50	0	4	7	3	15	0	0	3	0	0	0	0	0	0
log	2	0	0	0	0	3	0	79	0	0	0	0	2	3	0	2	1	2	5	0	0
png	0	4	0	2	0	0	4	0	61	7	2	10	0	0	2	0	2	0	0	6	0
pps	0	10	1	10	0	0	2	0	1	16	8	41	0	0	4	0	0	0	0	0	7
ppt	0	26	0	10	0	0	0	0	3	21	13	16	0	0	6	0	0	0	0	3	4
pptx	0	1	2	9	0	0	0	0	2	23	5	46	0	0	11	0	0	0	0	1	0
rtf	1	1	0	0	2	0	0	1	0	0	0	1	92	2	0	1	0	0	1	2	0
sql	4	0	0	0	11	0	0	9	0	3	0	0	0	38	0	4	15	2	11	0	0
swf	0	2	0	5	0	0	1	0	9	9	3	27	0	0	33	0	1	0	0	5	1
tex	0	0	0	0	1	0	0	17	0	0	0	0	4	5	0	68	1	0	2	1	0
text	0	19	1	0	4	0	0	6	1	0	1	4	4	5	4	2	29	5	12	2	1
troff	8	1	3	0	3	0	0	12	0	0	0	0	0	10	0	0	5	47	9	2	0
txt	2	0	1	0	2	0	0	21	0	0	0	0	1	7	0	1	10	5	44	10	0
wp	0	3	0	0	2	0	3	2	9	5	1	6	0	1	2	0	0	1	0	63	0
xls	0	27	0	0	0	0	0	0	0	3	2	1	0	0	1	0	1	1	0	1	65
