True	csv	dwf	eps	fits	gif	gz	hlp	html	jpg	pdf	png	pptx	ps	rtf	tex	text	tmp	troff	unk	wp	xls	xml
csv	72	0	1	2	0	0	0	5	0	0	0	0	2	0	3	1	0	13	0	0	0	0
dwf	0	70	0	2	1	12	0	0	8	0	2	4	0	0	0	0	0	0	0	1	0	0
eps	1	0	68	1	0	2	0	3	0	1	0	0	17	1	0	0	2	1	1	0	0	2
fits	0	1	0	74	0	1	0	0	1	0	1	3	1	0	0	3	3	0	5	3	0	0
gif	0	2	0	3	63	2	0	0	7	1	3	4	0	0	0	0	2	0	0	0	2	0
gz	0	1	0	1	0	78	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0
hlp	4	0	3	0	0	0	68	3	0	0	0	0	0	0	0	4	2	7	10	11	0	1
html	3	0	2	2	0	0	0	74	0	3	0	0	1	2	1	0	3	2	2	0	0	12
jpg	0	2	0	0	1	8	0	0	72	1	3	8	0	0	0	2	0	0	0	3	0	0
pdf	1	4	1	3	1	11	0	1	3	44	9	6	8	1	0	0	0	1	2	0	0	0
png	0	2	0	0	7	11	0	0	4	0	56	11	0	0	0	0	0	0	0	3	0	0
pptx	0	4	0	2	4	28	0	0	11	2	2	35	0	0	0	0	6	0	1	2	0	0
ps	1	0	24	1	0	2	0	5	0	2	0	0	51	2	4	1	2	3	1	0	0	0
rtf	0	0	1	0	0	0	2	0	0	0	0	0	3	88	1	0	0	0	1	1	2	0
tex	1	0	2	0	0	0	0	4	0	0	0	0	7	1	66	1	4	5	4	0	0	0
text	3	2	2	8	1	1	0	0	4	0	0	4	4	0	0	19	8	10	15	2	12	0
tmp	7	0	6	0	0	0	0	3	0	3	0	0	3	0	0	5	60	7	4	0	1	3
troff	3	0	6	2	0	0	1	1	0	0	0	0	6	0	0	2	4	53	13	0	0	3
unk	4	0	4	11	3	1	0	7	2	0	3	0	2	0	2	3	7	6	56	3	4	0
wp	1	8	0	3	0	1	0	0	1	0	2	5	0	0	0	1	1	0	3	72	1	0
xls	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	1	0	3	0	98	0
xml	1	0	7	0	0	0	0	16	0	1	0	0	1	0	1	0	2	0	0	0	0	76
