True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	kmz	log	png	pps	pptx	ps	sql	swf	wp	xls	xml
dbase3	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	72	3	0	0	0	1	0	1	0	0	0	0	0	0	6	4	0	0	2	1	14	0
docx	0	0	80	0	0	0	0	1	10	0	0	0	0	0	0	1	5	0	0	2	0	0	0
dwf	0	0	0	81	0	0	3	0	4	0	0	0	0	0	0	0	6	0	0	4	0	0	0
eps	0	0	0	0	46	0	3	0	0	1	3	1	0	4	0	0	0	43	0	0	0	0	0
f	0	0	0	0	0	58	4	0	0	4	0	15	0	2	0	0	0	4	12	0	1	0	0
fits	0	0	0	0	0	9	75	1	0	0	0	0	0	2	1	0	4	2	2	5	1	1	0
gif	0	0	5	0	2	0	5	61	1	0	0	0	1	0	2	5	4	0	0	4	6	0	0
gz	0	0	0	9	0	0	0	0	61	0	0	0	6	0	0	4	16	0	0	5	0	0	0
hlp	0	0	0	0	0	17	1	0	0	66	0	6	0	0	0	0	0	2	1	0	5	0	0
html	0	0	0	0	3	6	2	0	0	0	73	3	0	0	0	0	0	5	3	0	0	0	8
java	0	0	0	0	1	9	0	0	0	2	0	76	0	5	0	0	0	1	1	0	0	0	2
kmz	0	0	0	8	0	0	0	0	15	0	0	0	59	0	5	2	9	0	0	0	3	0	0
log	0	4	0	0	1	8	1	0	0	2	4	9	0	49	0	0	0	7	5	0	0	0	7
png	0	0	0	4	0	0	0	10	3	0	1	0	0	0	51	4	15	0	0	2	10	0	0
pps	0	12	0	4	0	0	0	4	21	0	0	0	3	0	3	10	25	0	1	9	3	7	0
pptx	0	3	10	4	0	0	1	6	22	0	0	0	2	0	1	8	36	0	0	6	2	0	0
ps	0	1	0	0	2	4	0	0	1	0	0	7	0	8	0	0	0	76	0	0	0	0	0
sql	0	0	4	0	1	12	0	0	0	4	6	13	0	0	0	0	0	4	48	0	0	0	8
swf	0	1	0	1	0	0	1	4	9	0	0	0	0	0	1	5	24	0	0	44	9	0	0
wp	0	2	2	0	0	0	4	0	0	2	1	0	0	0	8	2	1	0	0	0	74	2	0
xls	0	32	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	58	0
xml	0	0	0	0	2	2	0	0	0	0	12	5	0	3	0	0	0	5	0	0	0	0	73
