True	csv	doc	docx	dwf	eps	fits	gif	gz	hlp	html	log	pdf	pptx	ps	rtf	swf	tex	text	tmp	troff	unk	wp	xls	xml
csv	77	0	0	0	0	0	1	0	0	4	6	0	0	3	2	0	2	1	1	0	2	0	0	0
doc	0	59	0	0	1	1	1	1	2	2	0	0	3	0	0	1	0	1	0	0	1	6	6	0
docx	0	0	86	0	0	0	2	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	75	0	0	1	3	0	0	0	0	9	0	0	15	0	0	0	0	0	0	1	0
eps	2	0	0	0	72	2	0	0	0	1	6	2	1	12	5	0	2	1	1	0	0	0	0	0
fits	0	2	0	2	1	74	2	0	0	0	0	2	0	0	0	12	0	2	0	0	9	1	2	0
gif	0	3	6	7	0	0	69	1	0	0	0	1	4	0	0	7	0	0	0	0	0	1	1	0
gz	0	0	1	2	0	0	0	55	0	0	0	3	11	0	0	18	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	0	0	75	1	1	0	0	0	0	0	1	6	0	2	4	3	0	0
html	4	0	0	0	1	2	0	0	1	83	2	3	0	0	2	0	3	2	0	2	0	1	0	1
log	4	0	0	0	9	0	0	0	1	11	50	0	0	3	4	0	11	2	1	2	5	0	0	1
pdf	2	0	0	2	0	1	4	5	1	0	2	58	8	1	0	5	0	1	0	0	2	0	0	0
pptx	0	1	11	4	0	0	8	16	0	0	0	1	31	0	0	26	0	0	0	0	0	0	0	0
ps	1	0	0	0	17	0	0	1	0	2	11	2	0	48	5	0	0	1	0	0	3	1	0	0
rtf	0	0	0	0	0	0	0	0	0	1	1	0	0	2	83	0	1	0	0	0	0	4	0	0
swf	0	0	0	4	1	3	0	14	0	0	0	2	14	0	0	52	0	0	0	0	0	3	9	0
tex	1	0	0	0	2	0	0	0	8	5	8	0	0	0	3	0	72	0	0	2	4	0	0	0
text	2	21	3	0	2	5	2	3	1	1	3	0	4	1	4	5	2	19	4	5	11	3	2	0
tmp	1	0	6	0	3	1	2	0	3	5	4	7	0	1	0	0	0	11	46	4	8	3	0	3
troff	4	0	0	0	4	5	2	0	5	4	5	3	0	10	0	0	0	5	0	45	7	0	0	0
unk	1	2	0	0	9	2	1	0	7	6	3	1	2	0	0	1	3	5	3	4	40	7	0	1
wp	1	2	0	3	0	1	4	0	1	0	0	0	0	1	0	5	0	0	0	1	3	83	1	0
xls	0	44	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	2	3	51	0
xml	2	0	0	0	2	0	0	0	1	20	3	2	0	0	2	0	2	0	1	0	3	0	0	64
