True	csv	dbase3	doc	docx	dwf	f	fits	gif	java	kml	kmz	log	pdf	png	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	wp	xls
csv	72	0	0	0	0	1	2	0	0	1	0	4	0	0	0	0	2	1	5	0	0	0	3	1	3	0	0
dbase3	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	77	6	0	2	0	1	1	0	2	0	0	0	4	1	0	1	0	1	0	0	0	0	0	1	4
docx	0	0	0	88	1	0	0	0	0	0	6	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	78	0	1	0	0	0	6	0	0	2	2	8	0	0	0	6	0	1	0	0	0	0	0
f	9	0	0	0	0	33	0	0	4	2	0	3	0	0	0	0	4	0	12	0	0	1	2	11	11	0	0
fits	0	0	1	2	0	6	70	2	0	0	0	0	1	0	1	1	0	0	0	2	0	3	3	0	9	0	0
gif	0	0	0	0	3	0	2	83	0	0	0	0	4	1	0	6	0	0	0	4	0	1	1	0	0	3	0
java	1	0	0	0	0	4	1	0	59	10	0	12	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0
kml	1	0	0	0	0	0	0	0	0	83	0	3	1	0	0	0	2	0	1	0	5	0	1	0	3	0	0
kmz	0	0	0	0	5	0	0	3	0	0	70	0	0	0	2	12	0	0	0	1	0	2	0	0	0	0	0
log	2	0	0	2	0	4	0	0	3	2	0	54	2	0	0	0	5	0	3	0	5	1	4	3	3	1	0
pdf	0	0	0	1	3	0	1	2	0	0	12	2	57	1	1	19	1	0	0	1	0	0	0	1	0	0	0
png	0	0	0	1	7	0	0	4	0	0	9	0	2	62	5	12	0	0	0	4	0	0	0	0	0	4	0
ppt	0	0	32	2	1	0	0	2	0	0	16	0	5	0	10	28	0	0	0	4	0	0	0	0	0	1	2
pptx	0	0	0	18	4	0	0	1	0	0	20	0	3	2	8	32	0	0	0	7	0	0	0	0	0	1	2
ps	0	0	0	0	0	2	2	0	1	1	1	2	1	0	0	0	83	1	1	0	2	1	1	1	4	0	0
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	99	0	0	2	0	0	0	3	0	1
sql	7	0	0	7	0	5	1	0	3	0	0	0	0	0	0	0	6	0	54	0	2	1	2	2	13	0	0
swf	0	0	1	0	6	0	0	2	0	0	19	0	5	3	7	19	0	0	0	30	0	0	1	0	0	7	0
tex	3	0	0	0	0	0	0	0	3	5	0	6	0	0	0	0	0	2	5	0	67	0	0	1	1	0	0
text	2	0	21	5	3	4	0	1	1	0	1	0	0	1	2	5	3	2	10	2	0	17	1	7	10	0	0
tmp	1	0	0	0	0	1	0	3	0	1	0	10	1	0	0	0	3	0	5	0	0	0	54	4	17	2	0
troff	5	0	0	0	0	4	0	0	1	2	0	5	2	0	0	0	0	0	12	0	0	1	2	47	10	2	0
txt	6	0	0	0	0	20	2	0	11	0	0	1	0	0	0	0	2	0	4	0	0	6	6	7	31	2	0
wp	0	0	3	1	1	1	1	0	0	0	4	0	0	2	6	4	0	1	3	0	0	0	0	0	7	69	0
xls	0	0	35	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	55
