True	csv	dbase3	doc	dwf	eps	fits	gif	gz	hlp	html	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	sql	text	tmp	troff	txt	unk	wp	xls	xml
csv	62	0	0	0	2	0	0	0	0	7	0	5	0	0	0	0	0	0	6	8	1	5	7	1	0	0	0	0
dbase3	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	56	0	0	2	1	0	0	0	2	0	1	1	0	3	12	2	1	1	7	0	1	0	1	2	2	0
dwf	0	0	0	74	0	0	2	6	0	0	6	0	1	3	0	2	0	4	0	0	0	0	0	0	0	0	0	0
eps	1	0	0	0	65	2	0	0	0	2	0	0	0	0	0	0	0	0	26	0	2	1	0	6	0	0	0	0
fits	0	0	0	2	0	79	1	0	0	0	0	0	0	1	0	0	1	2	0	0	3	0	0	1	5	1	1	0
gif	0	0	1	0	0	0	83	0	0	0	0	0	0	5	1	0	1	1	0	0	2	1	0	0	0	3	0	0
gz	0	0	0	2	0	0	0	46	0	0	5	0	10	6	1	3	0	25	0	0	1	0	0	0	0	0	0	0
hlp	0	0	0	0	0	1	0	0	57	0	0	0	0	0	0	0	0	0	0	7	7	0	10	10	3	0	0	0
html	4	0	0	0	3	0	0	0	0	68	0	0	0	2	0	0	0	0	1	0	3	3	2	0	2	0	0	15
jpg	0	0	1	4	1	0	2	0	0	1	67	0	0	0	4	6	0	8	0	0	0	0	0	0	1	2	0	0
kml	2	0	0	0	2	0	0	0	0	4	0	71	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	16
kmz	0	0	0	13	0	0	0	8	0	0	2	0	56	1	4	3	2	18	0	0	0	0	0	0	0	0	0	0
pdf	0	0	0	3	0	1	3	6	0	1	5	0	3	56	2	2	1	10	9	0	0	1	2	0	0	0	0	1
png	0	0	0	1	0	0	3	2	0	0	2	0	3	0	62	2	1	13	0	0	0	0	0	0	0	9	3	0
pps	0	0	5	1	0	1	5	11	0	0	8	0	2	3	6	5	8	32	0	1	4	0	1	0	1	3	3	0
ppt	0	0	14	2	1	2	2	5	0	0	8	0	1	3	4	17	14	14	0	0	9	0	0	0	0	1	5	0
pptx	0	0	3	2	0	1	3	9	0	0	8	0	2	6	2	9	1	45	0	0	0	2	0	0	0	0	0	0
ps	0	0	0	0	9	1	0	0	0	7	0	4	1	1	0	0	0	0	63	0	3	1	0	3	0	0	0	1
sql	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	46	3	2	13	8	6	0	0	6
text	2	0	13	1	1	7	5	2	3	2	1	0	2	1	0	0	1	3	1	4	26	1	7	8	5	7	0	0
tmp	0	0	0	0	1	1	2	0	0	4	0	1	0	3	0	2	0	0	1	10	3	51	9	2	6	0	0	3
troff	6	0	0	0	1	5	0	0	0	3	0	0	0	0	0	0	0	0	4	3	5	0	63	4	4	0	0	0
txt	1	0	1	0	2	16	0	0	1	2	0	0	0	0	0	0	0	0	3	6	24	2	9	19	12	5	0	0
unk	1	0	0	0	4	7	1	0	0	10	0	0	0	0	1	1	0	1	3	8	6	3	10	4	30	0	1	6
wp	0	1	0	2	1	4	0	0	0	0	3	0	1	0	5	0	3	2	1	2	1	0	1	1	2	72	0	0
xls	0	0	15	0	0	0	2	0	0	0	1	0	0	0	0	1	6	0	0	0	9	0	0	0	0	1	68	0
xml	0	0	0	0	0	0	0	0	0	13	0	8	0	2	0	0	0	0	1	0	0	2	2	0	0	0	0	73
