True	csv	dbase3	doc	docx	dwf	eps	f	gif	gz	hlp	html	java	jpg	kmz	log	pdf	png	pps	ppt	pptx	sql	swf	tex	text	tmp	troff	txt	xls	xml
csv	54	0	0	0	0	2	4	0	0	3	4	0	0	0	2	0	0	0	0	0	4	0	4	4	3	10	5	0	1
dbase3	0	96	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	52	1	0	0	1	0	0	1	1	0	3	0	0	0	3	3	5	3	0	0	0	2	0	0	0	29	0
docx	0	0	1	101	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	78	0	0	2	5	0	0	0	1	7	0	0	0	4	2	2	0	4	0	2	0	0	0	0	0
eps	0	0	1	0	0	75	0	0	0	1	2	0	0	0	5	1	0	1	0	1	1	0	0	6	2	0	3	0	0
f	2	0	0	0	0	0	36	0	0	6	2	10	0	0	0	0	0	0	0	0	8	0	1	11	2	6	18	0	1
gif	0	0	0	7	7	0	0	68	0	0	0	0	3	2	0	1	3	4	2	1	0	0	0	1	0	0	0	0	0
gz	0	0	0	2	3	0	0	1	61	0	0	0	1	2	0	0	0	12	12	2	0	6	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	13	0	0	64	0	5	0	0	0	0	0	0	0	0	2	0	0	4	1	1	6	0	0
html	4	0	0	0	0	0	3	0	0	2	54	1	0	0	5	0	0	0	0	0	3	0	4	3	3	1	1	0	15
java	0	0	0	0	0	1	12	0	0	5	2	67	0	0	5	0	0	0	0	0	1	0	0	2	2	0	3	0	3
jpg	0	0	2	0	0	0	0	0	1	0	0	0	79	2	0	2	1	6	9	3	0	4	0	0	0	0	0	2	0
kmz	0	0	0	0	9	0	0	0	27	0	0	0	0	37	0	0	9	5	0	4	0	0	0	1	0	0	0	0	0
log	0	0	0	0	0	4	5	0	0	1	0	4	2	0	59	0	0	0	0	0	0	0	4	5	8	2	3	0	4
pdf	0	0	0	0	4	1	1	0	3	0	0	0	1	3	0	56	1	6	4	5	0	3	0	2	2	1	2	0	1
png	2	0	0	0	1	0	0	9	3	0	0	0	3	2	0	1	44	5	9	4	0	3	0	2	0	0	0	0	0
pps	0	0	7	0	1	0	0	4	22	0	0	0	3	3	0	1	1	20	16	8	0	4	0	4	0	0	0	6	0
ppt	0	0	16	2	1	0	0	2	8	0	0	0	4	1	0	1	3	15	18	11	0	6	0	1	0	0	0	8	0
pptx	0	0	2	11	4	0	0	1	22	0	0	0	3	2	0	1	1	19	13	12	0	8	0	0	0	0	0	1	0
sql	2	0	1	1	0	6	13	0	0	5	0	1	0	0	5	0	0	0	0	0	39	0	7	7	1	4	7	0	2
swf	0	0	0	0	4	0	0	0	7	0	0	0	4	2	0	3	7	16	14	5	0	32	0	2	0	0	0	3	0
tex	0	0	0	0	0	1	2	0	0	1	1	2	0	0	4	0	0	0	0	0	1	0	73	2	2	0	4	0	2
text	0	0	23	0	1	4	8	1	6	2	0	1	0	0	0	1	0	2	3	2	1	0	0	23	2	3	13	4	0
tmp	3	0	1	7	0	9	1	0	0	1	1	0	0	0	3	0	0	0	0	0	6	0	1	13	43	5	4	0	0
troff	1	0	0	0	0	0	13	0	0	6	0	2	0	0	0	1	0	0	0	0	2	0	0	9	1	58	4	0	0
txt	4	0	0	0	0	8	16	0	0	3	1	3	0	0	9	0	0	0	0	0	3	0	3	22	2	9	23	0	0
xls	0	0	22	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	70	0
xml	0	0	0	0	0	2	0	0	0	0	4	2	0	0	4	0	0	0	0	0	0	0	11	1	4	0	1	0	73
